siren,expected_label,title,pub_date_crc,age_rapport_crc,synthese_crc,pdf_recent_path,pdf_recent_basename,pdf_recent_date,pdf_recent_age,pdf_contemp_path,pdf_contemp_basename,pdf_contemp_date,pdf_contemp_lag,same_pdf
303626360,,"Association ""Centre d'animation culturelle de Compiègne et du Valois (CACCV) espace Jean Legendre"" (Oise)",2023-12-11,2.4,"Gouvernance défaillante : instances réduites, statuts imprécis, délégations non régularisées, absence règles commande publique, personnel hors cadre légal.",/home/goarant/Documents/vigilasso/data/pdfs_phase4_v2/303626360_31122024.pdf,303626360_31122024.pdf,2024-12-31,1.3,/home/goarant/Documents/vigilasso/data/pdfs_phase4_v2/303626360_31122022.pdf,303626360_31122022.pdf,2022-12-31,0.9,false
304605256,,Association des îles du Ponant (AIP) (Morbihan),2021-12-13,4.4,"Déficits 2019-2020, procédures commande publique défaillantes, gouvernance à sécuriser, dépendance aux subventions et cotisations.",/home/goarant/Documents/vigilasso/data/pdfs_phase4_v2/304605256_31122020.pdf,304605256_31122020.pdf,2020-12-31,5.3,/home/goarant/Documents/vigilasso/data/pdfs_phase4_v2/304605256_31122020.pdf,304605256_31122020.pdf,2020-12-31,1.0,true
311642342,,Fondation Assistance aux Animaux,2025-01-08,1.3,Présidente et directeur ont engagé dépenses sans autorisation statutaire requise. Violations procédures délégation de pouvoirs. Amende 1500€ et 1000€.,/home/goarant/Documents/vigilasso/data/pdfs_phase4_v2/311642342_31122024.pdf,311642342_31122024.pdf,2024-12-31,1.3,/home/goarant/Documents/vigilasso/data/pdfs_phase4_v2/311642342_31122024.pdf,311642342_31122024.pdf,2024-12-31,0.0,true
332521897,,Association Orchestre des Pays de Savoie - Le Bourget-du-Lac (Savoie),2016-11-07,9.5,"Manquements sociaux et fiscaux, gouvernance imprécise, tension financière récurrente nécessitant appels aux collectivités.",/home/goarant/Documents/vigilasso/data/pdfs_phase4_v2/332521897_31122022.pdf,332521897_31122022.pdf,2022-12-31,3.4,/home/goarant/Documents/vigilasso/data/pdfs_phase4_v2/332521897_31122015.pdf,332521897_31122015.pdf,2015-12-31,0.9,false
333352524,,Association Accoord (Loire-Atlantique),2023-12-06,2.4,"Contrôles insuffisants (honorabilité personnel, marchés publics), gouvernance à renforcer, fréquentation et qualité service dégradées.",/home/goarant/Documents/vigilasso/data/pdfs_phase4_v2/333352524_31122024.pdf,333352524_31122024.pdf,2024-12-31,1.3,/home/goarant/Documents/vigilasso/data/pdfs_phase4_v2/333352524_31122022.pdf,333352524_31122022.pdf,2022-12-31,0.9,false
339391021,,Association Opéra national de Lyon (métropole de Lyon),2021-11-22,4.5,Changement de statut juridique urgent vers EPCC pour sécuriser financement et éliminer fragilités de gestion associative.,/home/goarant/Documents/vigilasso/data/pdfs_phase4_v2/339391021_31122024.pdf,339391021_31122024.pdf,2024-12-31,1.3,/home/goarant/Documents/vigilasso/data/pdfs_phase4_v2/339391021_31122020.pdf,339391021_31122020.pdf,2020-12-31,0.9,false
352778872,,Association Le Havre développement (Seine-Maritime),2020-01-14,6.3,"Non-respect règles commande publique, absence délégations, séparation fonctions défaillante, dépendance 96% subventions publiques.",/home/goarant/Documents/vigilasso/data/pdfs_phase4_v2/352778872_31122024.pdf,352778872_31122024.pdf,2024-12-31,1.3,/home/goarant/Documents/vigilasso/data/pdfs_phase4_v2/352778872_31122019.pdf,352778872_31122019.pdf,2019-12-31,0.0,false
378165294,,Association Le Fourneau à Brest (Finistère),2023-10-06,2.6,"Imprécisions statutaires, gouvernance à formaliser, dépendance critique aux subventions publiques (95%), marchés publics insuffisamment maîtrisés.",/home/goarant/Documents/vigilasso/data/pdfs_phase4_v2/378165294_31122024.pdf,378165294_31122024.pdf,2024-12-31,1.3,/home/goarant/Documents/vigilasso/data/pdfs_phase4_v2/378165294_31122022.pdf,378165294_31122022.pdf,2022-12-31,0.8,false
378751127,,Association de soins à domicile à La Réunion (ASDR),2022-12-28,3.4,"Association fermée, gouvernance bicéphale défaillante, instances sans contrepouvoir, statuts inadaptés, anomalies de gestion RH et rémunérations.",/home/goarant/Documents/vigilasso/data/pdfs_phase4_v2/378751127_31122021.pdf,378751127_31122021.pdf,2021-12-31,4.4,/home/goarant/Documents/vigilasso/data/pdfs_phase4_v2/378751127_31122021.pdf,378751127_31122021.pdf,2021-12-31,1.0,true
378757686,,Association Théâtre Royal de Luxe (Loire-Atlantique),2013-12-06,12.4,extraction PDF échouée,/home/goarant/Documents/vigilasso/data/pdfs_phase4_v2/378757686_03102025.pdf,378757686_03102025.pdf,2025-10-03,0.6,/home/goarant/Documents/vigilasso/data/pdfs_phase4_v2/378757686_31122012.pdf,378757686_31122012.pdf,2012-12-31,0.9,false
