siren,expected_label,title,age_rapport_crc,synthese_crc,recent_pdf,recent_date,recent_age,recent_score,recent_niveau,recent_statut,recent_resultat_net,recent_fonds_propres,recent_tresorerie,recent_detail,contemp_pdf,contemp_date,contemp_lag,contemp_score,contemp_niveau,contemp_statut,contemp_resultat_net,contemp_fonds_propres,contemp_tresorerie,contemp_detail,error
303626360,,"Association ""Centre d'animation culturelle de Compiègne et du Valois (CACCV) espace Jean Legendre"" (Oise)",2.4,"Gouvernance défaillante : instances réduites, statuts imprécis, délégations non régularisées, absence règles commande publique, personnel hors cadre légal.",303626360_31122024.pdf,2024-12-31,1.3,52,C,deficit,-10394,232330,2226420,"{""rentabilite"":14.2,""solidite"":2.5,""liquidite"":20,""autonomie"":5.4,""gouvernance"":10}",303626360_31122022.pdf,2022-12-31,0.9,50,C,deficit,-29374,264983,1534589,"{""rentabilite"":13.6,""solidite"":3.1,""liquidite"":15.1,""autonomie"":7.7,""gouvernance"":10}",
304605256,,Association des îles du Ponant (AIP) (Morbihan),4.4,"Déficits 2019-2020, procédures commande publique défaillantes, gouvernance à sécuriser, dépendance aux subventions et cotisations.",304605256_31122020.pdf,2020-12-31,5.3,59,C,deficit,-32431,182208,294210,"{""rentabilite"":10.2,""solidite"":13.0,""liquidite"":20,""autonomie"":5.3,""gouvernance"":10}",304605256_31122020.pdf,2020-12-31,,59,C,deficit,-32431,182208,294210,"{""rentabilite"":10.2,""solidite"":13.0,""liquidite"":20,""autonomie"":5.3,""gouvernance"":10}",
311642342,,Fondation Assistance aux Animaux,1.3,Présidente et directeur ont engagé dépenses sans autorisation statutaire requise. Violations procédures délégation de pouvoirs. Amende 1500€ et 1000€.,311642342_31122024.pdf,2024-12-31,1.3,70,B,deficit,-1507063,56224512,16268945,"{""rentabilite"":10.0,""solidite"":15.0,""liquidite"":20,""autonomie"":15.0,""gouvernance"":10}",311642342_31122024.pdf,2024-12-31,,70,B,deficit,-1507063,56224512,16268945,"{""rentabilite"":10.0,""solidite"":15.0,""liquidite"":20,""autonomie"":15.0,""gouvernance"":10}",
332521897,,Association Orchestre des Pays de Savoie - Le Bourget-du-Lac (Savoie),9.5,"Manquements sociaux et fiscaux, gouvernance imprécise, tension financière récurrente nécessitant appels aux collectivités.",332521897_31122022.pdf,2022-12-31,3.4,48,C,deficit,-162614,299857,564172,"{""rentabilite"":11.6,""solidite"":12.9,""liquidite"":11.1,""autonomie"":2.7,""gouvernance"":10}",332521897_31122015.pdf,2015-12-31,0.9,38,D,deficit,-8706,77394,322779,"{""rentabilite"":14.8,""solidite"":3.2,""liquidite"":6.0,""autonomie"":4.2,""gouvernance"":10}",
333352524,,Association Accoord (Loire-Atlantique),2.4,"Contrôles insuffisants (honorabilité personnel, marchés publics), gouvernance à renforcer, fréquentation et qualité service dégradées.",333352524_31122024.pdf,2024-12-31,1.3,29,D,ambigu,1353,-671137,1476036,"{""rentabilite"":13.7,""solidite"":0,""liquidite"":1.7,""autonomie"":3.5,""gouvernance"":10}",333352524_31122022.pdf,2022-12-31,0.9,30,D,deficit,-159410,-502015,2093528,"{""rentabilite"":13.6,""solidite"":0,""liquidite"":2.8,""autonomie"":3.6,""gouvernance"":10}",
339391021,,Association Opéra national de Lyon (métropole de Lyon),4.5,Changement de statut juridique urgent vers EPCC pour sécuriser financement et éliminer fragilités de gestion associative.,339391021_31122024.pdf,2024-12-31,1.3,50,C,deficit,-108163,5857102,5958690,"{""rentabilite"":14.7,""solidite"":12.7,""liquidite"":7.7,""autonomie"":4.5,""gouvernance"":10}",339391021_31122020.pdf,2020-12-31,0.9,50,C,excedent,182939,6581945,4835394,"{""rentabilite"":15.7,""solidite"":14.1,""liquidite"":9.1,""autonomie"":1.5,""gouvernance"":10}",
352778872,,Association Le Havre développement (Seine-Maritime),6.3,"Non-respect règles commande publique, absence délégations, séparation fonctions défaillante, dépendance 96% subventions publiques.",352778872_31122024.pdf,2024-12-31,1.3,88,A,excedent,5002,843248,1244376,"{""rentabilite"":27.6,""solidite"":19.1,""liquidite"":20,""autonomie"":11.7,""gouvernance"":10}",352778872_31122019.pdf,2019-12-31,0.0,84,A,excedent,105053,840980,898603,"{""rentabilite"":18.9,""solidite"":25,""liquidite"":20,""autonomie"":10.4,""gouvernance"":10}",
378165294,,Association Le Fourneau à Brest (Finistère),2.6,"Imprécisions statutaires, gouvernance à formaliser, dépendance critique aux subventions publiques (95%), marchés publics insuffisamment maîtrisés.",378165294_31122024.pdf,2024-12-31,1.3,49,C,ambigu,21764,187266,383104,"{""rentabilite"":14.9,""solidite"":13.8,""liquidite"":8.3,""autonomie"":2.1,""gouvernance"":10}",378165294_31122022.pdf,2022-12-31,0.8,45,C,deficit,-6130,165409,320978,"{""rentabilite"":14.6,""solidite"":10.7,""liquidite"":8.5,""autonomie"":1.5,""gouvernance"":10}",
378751127,,Association de soins à domicile à La Réunion (ASDR),3.4,"Association fermée, gouvernance bicéphale défaillante, instances sans contrepouvoir, statuts inadaptés, anomalies de gestion RH et rémunérations.",378751127_31122021.pdf,2021-12-31,4.4,64,B,excedent,846920,14072495,7756220,"{""rentabilite"":15.8,""solidite"":15.7,""liquidite"":8.3,""autonomie"":14.1,""gouvernance"":10}",378751127_31122021.pdf,2021-12-31,,64,B,excedent,846920,14072495,7756220,"{""rentabilite"":15.8,""solidite"":15.7,""liquidite"":8.3,""autonomie"":14.1,""gouvernance"":10}",
378757686,,Association Théâtre Royal de Luxe (Loire-Atlantique),12.4,extraction PDF échouée,378757686_03102025.pdf,2025-10-03,0.6,32,D,deficit,-312706,257154,104057,"{""rentabilite"":0,""solidite"":5.6,""liquidite"":5.8,""autonomie"":11.0,""gouvernance"":10}",378757686_31122012.pdf,2012-12-31,0.9,66,B,excedent,21051,429491,629863,"{""rentabilite"":30,""solidite"":9.5,""liquidite"":9.6,""autonomie"":6.8,""gouvernance"":10}",
387951338,,"Association ""Le Polyèdre"" à Seynod (Haute-Savoie)",7.9,"Dysfonctionnements de gouvernance : CA insuffisant, réunions irrégulières, statuts imprécis. Malversation directeur non signalée.",387951338_31122024.pdf,2024-12-31,1.3,61,B,ambigu,2094,467411,623499,"{""rentabilite"":14.1,""solidite"":18.2,""liquidite"":19.8,""autonomie"":8.7,""gouvernance"":0}",387951338_31122017.pdf,2017-12-31,0.4,18,E,excedent,6024,195121,445189,"{""rentabilite"":0,""solidite"":10.6,""liquidite"":0,""autonomie"":7.5,""gouvernance"":0}",
389875964,,Association mission locale de la Lozère - Maison des adolescents 48 (Lozère),1.3,"Statuts à mettre à jour, comité de pilotage à créer, comptabilité à clarifier, locaux exigus, instance de suivi manquante.",389875964_31122008.pdf,2008-12-31,17.3,54,C,excedent,20435,226903,102587,"{""rentabilite"":16.7,""solidite"":18.1,""liquidite"":8.0,""autonomie"":0.8,""gouvernance"":10}",389875964_31122008.pdf,2008-12-31,,54,C,excedent,20435,226903,102587,"{""rentabilite"":16.7,""solidite"":18.1,""liquidite"":8.0,""autonomie"":0.8,""gouvernance"":10}",
397962978,,Association Quai des Bulles - Saint-Malo (Ille-et-Vilaine),4.6,Décalage entre dispositions statutaires et pratiques réelles de gouvernance ; nécessité de formaliser procédures internes.,397962978_31122021.pdf,2021-12-31,4.4,48,C,ambigu,57377,138423,221272,"{""rentabilite"":13.4,""solidite"":15.5,""liquidite"":10.6,""autonomie"":8.3,""gouvernance"":0}",397962978_31122020.pdf,2020-12-31,0.8,59,C,ambigu,-8461,81046,199764,"{""rentabilite"":30,""solidite"":8.6,""liquidite"":18.1,""autonomie"":2.4,""gouvernance"":0}",
407521798,,Association Viltaïs (Allier),3.9,"Association sans orientations stratégiques formalisées, gouvernance défaillante, croissance RH rapide mal maîtrisée, questions fiscalité commerciale.",407521798_31122024.pdf,2024-12-31,1.3,29,D,deficit,-2716742,-11379325,737598,"{""rentabilite"":11.1,""solidite"":0,""liquidite"":0.9,""autonomie"":6.5,""gouvernance"":10}",407521798_31122009.pdf,2009-12-31,12.4,39,D,ambigu,39929,346110,206179,"{""rentabilite"":14.6,""solidite"":9.3,""liquidite"":3.7,""autonomie"":11.3,""gouvernance"":0}",
409586104,,"Association - ""La Traverse"" - Cléon (Seine-Maritime)",13.2,Association financièrement stable mais dépendante à 82% des subventions. Risque juridique sur facturation location salle municipale.,409586104_31122024.pdf,2024-12-31,1.3,69,B,excedent,91880,295653,387515,"{""rentabilite"":19.4,""solidite"":19.2,""liquidite"":17.8,""autonomie"":2.4,""gouvernance"":10}",409586104_31122012.pdf,2012-12-31,0.1,67,B,ambigu,3560,235145,203081,"{""rentabilite"":13.5,""solidite"":20.3,""liquidite"":9.4,""autonomie"":13.8,""gouvernance"":10}",
410683254,,Association Léo Lagrange Ouest (Loire-Atlantique),2.3,"Cadre contractuel fragile, défaillances dans pilotage qualité service, grèves répétées, procédures RH et sécurité insuffisantes.",410683254_31122024.pdf,2024-12-31,1.3,54,C,excedent,481787,3667627,2406786,"{""rentabilite"":16.1,""solidite"":11.2,""liquidite"":2.4,""autonomie"":14.4,""gouvernance"":10}",410683254_31122023.pdf,2023-12-31,0.1,52,C,excedent,441484,3185840,3878650,"{""rentabilite"":16.1,""solidite"":8.3,""liquidite"":4.4,""autonomie"":13.1,""gouvernance"":10}",
