url,title,siren,canonical_name,nature_juridique,score,ambiguous,thematic,departement,query_used,nb_candidates
https://www.ccomptes.fr/fr/publications/association-residence-saint-nicolas-lozere,Association résidence Saint-Nicolas (Lozère),320825490,ASSOCIATION DE LA RESIDENCE SAINT NICOLAS,9220,0.857,false,false,48,residence saint nicolas,1
https://www.ccomptes.fr/fr/publications/association-soins-et-sante-metropole-de-lyon,Association Soins et Santé (Métropole de Lyon),302095617,SOINS ET SANTE,9220,0.917,true,false,69,soins sante,17
https://www.ccomptes.fr/fr/publications/association-des-festivites-pour-saint-gilles-gard,Association des festivités pour Saint-Gilles (Gard),409905270,ASSOCIATION DES FESTIVITES DE ST GILLES,9220,0.571,false,false,30,festivites saint gilles,1
https://www.ccomptes.fr/fr/publications/association-devup-loiret,Association Dev'up (Loiret),405047572,DEV'UP CENTRE-VAL DE LOIRE (ARITT),9220,0.344,false,false,45,devup,2
https://www.ccomptes.fr/fr/publications/association-la-case-des-artistes-nouvelle-caledonie,"Association ""La case des artistes"" (Nouvelle-Calédonie)",521475434,TI CASE D'ARTISTES,9220,0.821,false,false,,case artistes,11
https://www.ccomptes.fr/fr/publications/association-caledonienne-des-handicapes-nouvelle-caledonie,Association calédonienne des handicapés (Nouvelle-Calédonie),940636533,ASSOCIATION CALEDONIENNE DES  HANDICAPES (A.C.H),9220,0.667,false,false,,caledonienne handicapes,1
https://www.ccomptes.fr/fr/publications/association-bretagne-developpement-innovation-bdi-rennes-ille-et-vilaine,Association Bretagne Développement Innovation (BDI) à Rennes (Ille-et-Vilaine),424699759,HABITAT & DEVELOPPEMENT BRETAGNE (H&D BRETAGNE),9220,0.650,true,false,35,BRETAGNE developpement,21
https://www.ccomptes.fr/fr/publications/association-archipel-aide-et-soins-domicile-brest-finistere,Association Archipel aide et soins à domicile - Brest (Finistère),777510603,ARCHIPEL AIDE ET SOINS A DOMICILE,9220,1.000,false,false,29,archipel aide soins domicile,8
https://www.ccomptes.fr/fr/publications/association-cesson-rennes-metropole-handball-crmhb-cesson-sevigne-ille-et-vilaine,Association Cesson Rennes Métropole Handball (CRMHB) - Cesson-Sévigné (Ille-et-Vilaine),424340214,CESSON RENNES METROPOLE HANDBALL (OCCHB),9220,0.865,false,false,35,cesson rennes metropole handball,20
https://www.ccomptes.fr/fr/publications/association-des-iles-du-ponant-aip-morbihan,Association des îles du Ponant (AIP) (Morbihan),304605256,LES ILES DU PONANT,9220,0.917,false,false,56,iles ponant,12
https://www.ccomptes.fr/fr/publications/association-vivre-brest-finistere,"Association ""Vivre à Brest"" (Finistère)",427800792,ASS  VIVRE A BREST,9220,0.917,false,false,29,vivre brest,18
https://www.ccomptes.fr/fr/publications/association-quai-des-bulles-saint-malo-ille-et-vilaine,Association Quai des Bulles - Saint-Malo (Ille-et-Vilaine),397962978,ASS QUAI DES BULLES,9220,0.694,false,false,35,quai bulles,10
https://www.ccomptes.fr/fr/publications/association-lorient-grand-large-lorient-morbihan,"Association Lorient Grand Large, à Lorient (Morbihan)",523091668,LORIENT GRAND LARGE,9220,1.000,false,false,56,lorient grand large,21
https://www.ccomptes.fr/fr/publications/association-le-fourneau-brest-finistere,Association Le Fourneau à Brest (Finistère),378165294,LE FOURNEAU,9220,0.750,false,false,29,fourneau brest,2
https://www.ccomptes.fr/fr/publications/association-lou-rugby-metropole-de-lyon,Association LOU Rugby (Métropole de Lyon),918288333,LA MEUTE DU LOU RUGBY,9220,0.821,true,false,69,lou rugby,12
https://www.ccomptes.fr/fr/publications/association-sarthe-tourisme,Association Sarthe tourisme,786337287,COMITE TOURISME DE LA SARTHE,9220,1.000,false,false,72,sarthe tourisme,20
https://www.ccomptes.fr/fr/publications/association-creha-ouest-loire-atlantique,Association Creha Ouest (Loire-Atlantique),327822177,CREHA OUEST,9220,0.917,false,false,44,creha ouest,1
https://www.ccomptes.fr/fr/publications/associations-gestionnaires-du-secteur-du-handicap-renforcer-la-gouvernance-et,Associations gestionnaires du secteur du handicap : renforcer la gouvernance et sécuriser la gestion pour mieux répondre aux besoins,,,,,false,true,,,0
https://www.ccomptes.fr/fr/publications/association-theatre-71-scene-nationale-malakoff-hauts-de-seine,"Association « Théâtre 71 », scène nationale à Malakoff (Hauts-de-Seine)",681086740,THEATRE 71,9220,0.694,false,false,92,theatre 71,12
https://www.ccomptes.fr/fr/publications/association-les-gemeaux-scene-nationale-de-sceaux-hauts-de-seine,"Association Les Gémeaux, scène nationale de Sceaux (Hauts-de-Seine)",785450016,LES GEMEAUX (SCENE NATIONALE),9220,0.917,false,false,92,gemeaux,7
https://www.ccomptes.fr/fr/publications/association-des-amis-et-parents-de-personnes-handicapees-mentales-adapei-de-la-loire,Association des amis et parents de personnes handicapées mentales (Adapei) de la Loire,775602485,ASSOCIATION DEPARTEMENTALE DES AMIS ET PARENTS DE PERSONNES DEFICIENTES INTELLECTUELLES (ADAPEI),9230,0.721,false,false,42,AMIS,19
https://www.ccomptes.fr/fr/publications/association-de-gestion-du-theatre-du-cratere-dales-agc-gard,Association de gestion du théâtre du cratère d'Alès (AGC) (Gard),381570035,ASSOC GESTION CRATERE THEATRE D'ALES,9220,0.977,false,false,30,GESTION theatre,14
https://www.ccomptes.fr/fr/publications/association-du-theatre-de-saint-quentin-en-yvelines,Association du théâtre de Saint-Quentin-en-Yvelines,488803420,COUP DE THEATRE,9220,0.583,true,false,78,THEATRE saint,19
https://www.ccomptes.fr/fr/publications/association-maison-des-arts-et-de-la-culture-mac-de-creteil-et-du-val-de-marne,Association maison des arts et de la culture (MAC) de Créteil et du Val-de-Marne,439716457,MAISON DES ARTS,9220,0.694,false,false,51,MAISON arts,21
https://www.ccomptes.fr/fr/publications/association-points-communs-scene-nationale-de-cergy-pontoise-val-doise,"Association Points communs, scène nationale de Cergy-Pontoise (Val-d’Oise)",384818456,ASS POINTS COEUR,9220,0.432,false,false,60,POINTS,10
