siren,nom,ville,code_postal,departement,date_parution,date_jugement,nature_jugement,famille_jugement,bodacc_id
300462538,ASSOCIATION SYNDICAT DEPARTEMENTAL DE LA BOULANGERIE DE L’EURE,,,27,2022-12-31,,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202202552311
412024259,ASSOCIATION GROUPEMENT D’EMPLOYEURS D’ILLE ET VILLAINE,Châteaugiron,35410,35,2022-12-29,2022-12-12,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202202531681
348796509,ASSOCIATION DEPANN’FAMILLES GARDES D’ENFANTS,Lyon,69001,69,2022-12-29,2022-12-13,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202202531724
841475312,ASSOCIATION GARAGE LA DERNIERE CHANCE,Outreau,62230,62,2022-12-29,2022-12-15,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202202531713
423665876,ASSOCIATION ESSOR,Roubaix,59100,59,2021-03-09,2021-02-05,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202100473012
799067053,L’ASSOCIATION SEPT LIEUX,Roubaix,59100,59,2022-12-25,2022-12-02,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202202502143
350502548,ASSOCIATION ESPOIR,Roubaix,59100,59,2021-03-09,2021-02-05,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202100473011
504769415,ASSOCIATION VIVAD - VIVRE A DOMICILE - AIDE A LA PERSONNE,Paris,75005,75,2020-01-07,2019-12-12,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202000041365
798336798,ASSOCIATION LAUTRIE-GUILBERT,Houplines,59116,59,2021-12-21,2021-12-03,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202102476824
484642012,ASSOCIATION FEDERATION DE CARNAVAL TROPICAL DE PARIS ET D’ILE DE FRANCE,Paris,75020,75,2021-10-05,2021-09-23,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202101945558
442314936,ASSOCIATION AINA WORLD,Paris,75020,75,2021-06-22,2021-06-03,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202101203338
840989263,ASSOCIATION BETTER WORLD FORUM,Paris,75005,75,2020-06-24,2020-05-14,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202001212318
481655256,ASSOCIATION DE LA PISTE A LA SCENE - ECOLE DES ARTS DU CIRQUE,Compiègne,60200,60,2022-12-23,2022-11-18,Autre jugement de clôture,Jugement de clôture,A202202492229
420090029,ASSOCIATION STUDI HA DUDI,Plésidy,22720,22,2021-12-09,2021-11-26,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202102391807
779188267,ASSOCIATION PACEI,Paris,63100,63,2021-10-15,2021-10-06,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202102023661
492319371,ASSOCIATION UNE IDEE DERRIERE L’ECRAN,Saint-Martin-de-Crau,13310,13,2022-12-22,2022-12-08,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202202483270
380814871,ASSOCIATION CLUB DE NATATION USLM PACOUSSINES,Remire-Montjoly,97354,973,2022-12-20,2022-12-02,Autre jugement et ordonnance,Extrait de jugement,A202202463757
499270643,SCI LE RUISSEAU - ASSOCIATION DES RESSOURCES HUMAINES POUR L’ACCUEIL DANS LA VIENNE,Vivonne,86370,86,2022-12-20,2020-02-25,Autre arrêt de la Cour d'Appel,Arrêt de la Cour d'Appel,A202202463653
780341814,ASSOCIATION RESTAU VOULDY,Saint-Julien-les-Villas,10800,10,2020-08-18,2020-07-20,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202001592766
509317590,ASSOCIATION LE THEATRE DE LA RENCONTRE SCENIQUE,Bordeaux,33300,33,2022-12-14,2022-12-02,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202202422406
803343466,ASSOCIATION 1001 PRODSRECORDS,Authieux-Ratiéville,76690,76,2022-12-11,2022-12-01,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202202402196
820209872,ASSOCIATION LA MEUTE,Authieux-Ratiéville,76690,76,2022-12-11,2022-12-01,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202202402197
321692394,ASSOCIATION CULTURE ET EXPRESSIONS,Toulon,83000,83,2022-12-08,2022-11-28,Dépôt de l'état des créances,Avis de dépôt,A202202383467
507576627,L’ASSOCIATION RESEAU D’INGENIERIE SOCIALE POUR L’INSERTION ET L’EMPLOI,Fort-de-France,97200,972,2022-12-08,2022-11-28,Jugement de conversion en liquidation judiciaire,Jugement prononçant,A202202383631
789077799,ASSOCIATION MOTO-CLUB DU PEYRE,Saint-Maur,32300,32,2022-07-31,2022-07-19,Liste des créances nées après le jugement d'ouverture d'une procédure de liquidation judiciaire,Avis de dépôt,A202201471969
381218064,ASSOCIATION PASREL ENTREPRISE,Sainte-Clotilde,97490,974,2022-12-07,2022-11-22,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202202372003
821895794,ASSOCIATION JEUNESSE COMORIENS OCEAN INDIEN MOJA,Saint-Benoît,97470,974,2021-02-14,2021-01-19,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202100312874
419773213,ASSOCIATION SPORTIVE GOLFPART D’ALLAUCH (A.S.G.A.),Aix-en-Provence Cedex 3,13594,13,2022-12-06,2022-11-25,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202202362860
850852823,ASSOCIATION A CAT IN THE MOON,Paris,75014,75,2022-02-06,2022-01-20,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202200262263
447713926,ASSOCIATION CENTRE DE FORMATION D’APPRENTIS DE LA POISSONNERIE DU MARCHE INTERNATIONAL DE RUNGIS,Rungis,94150,94,2022-12-04,2022-11-15,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202202352763
306460791,ASSOCIATION SARCELLES JEUNES,Sarcelles,95200,95,2021-12-03,2021-11-23,Jugement prononçant la résolution du plan de redressement et la liquidation judiciaire,Extrait de jugement,A202102352836
402388714,"L’ASSOCIATION PROJET THELEME, LA SCI DOMAINE DU HOUVRE, LA SCEA LA COUR DE FRANCE",Pierrefitte-en-Auge,14130,14,2022-12-01,2022-10-20,Autre arrêt de la Cour d'Appel,Arrêt de la Cour d'Appel,A2022023313
814337242,ASSOCIATION ADMR DE GARGES LES GONESSE,Garges-lès-Gonesse,95140,95,2021-10-05,2021-09-23,Autre jugement prononçant,Jugement prononçant,A202101945768
404060865,association COMITE DES AMIS DE L’INSTITUT CULTUREL ITALIEN - COMAMICI,Grenoble,38000,38,2022-07-24,2022-07-11,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202201422218
491617742,ASSOCIATION GROUPEMENT D’EMPLOYEURS DE LA PLAINE DE KERVEYER,Cléder,29233,29,2022-11-29,2022-11-14,Jugement de clôture pour extinction du passif,Jugement de clôture,A202202313025
510306061,ASSOCIATION LA FRANCAISE D’ANIMATION,Nîmes,30900,30,2021-11-07,2021-10-21,Autre jugement prononçant,Jugement prononçant,A202102172302
429640485,ASSOCIATION GROUPEMENT D’EMPLOYEURS VERGERS VOISINS,Saint-Gilles,30800,30,2022-11-27,2022-11-17,Autre jugement prononçant,Jugement prononçant,A202202302462
402383889,Association HOCKEY SUR GLACE YONNAIS (HOGLY),La Roche-sur-Yon,85000,85,2020-09-27,2020-05-26,Dépôt de l'état des créances Loi de 1985,Avis de dépôt,A202001883457
352702039,Association CECOFIA,Marguerittes,30320,30,2021-10-20,2021-09-16,Liste des créances nées après le jugement d'ouverture d'une procédure de liquidation judiciaire,Avis de dépôt,A202102051703
820739027,ASSOCIATION GROUPEMENT D’EMPLOYEURS LA PLAINE AOX COTEAUX,Clairac,47320,47,2022-11-23,2022-10-20,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202202272155
782228019,ASSOCIATION ADESSA DU GRAND VILLENEUVOIS ADEDOM 47,Villeneuve-sur-Lot,47300,47,2022-08-16,2022-08-02,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202201582575
491530077,ASSOCIATION C Par L E S Mo,Montauban,82000,82,2022-11-22,2022-11-15,Jugement modifiant le plan de redressement,Extrait de jugement,A202202262796
393706817,ASSOCIATION SPORTS OUVRIERS,Armentières,59280,59,2022-11-22,2022-11-04,Autre jugement et ordonnance,Extrait de jugement,A202202262705
499882512,L’ASSOCIATION BEFFROIS MEDIATION FAMILIALE,Lille,59000,59,2022-11-22,2022-11-04,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202202262708
819433418,ASSOCIATION GROUPEMENT D’EMPLOYEURS SLBMO,Villenave,40110,40,2021-04-30,2021-04-06,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202100852627
434038998,ASSOCIATION ACTEURS DE L’ECONOMIE SOLIDAIRE,Marcq-en-Barœul,59700,59,2021-06-23,2021-05-21,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202101213392
484787379,ASSOCIATION AVANCE SERVICES,Vitry-sur-Seine,94400,94,2022-11-20,2022-11-08,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202202252376
407791680,ASSOCIATION LA COMPAGNIE D’AHAN,Saint-Sauflieu,80160,80,2022-11-20,2022-11-08,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202202252294
537927634,ASSOCIATION HARLEY DAVIDSON CLUB KELTIA,Ablon-sur-Seine,94480,94,2022-11-20,2022-11-08,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202202252377
483096400,ASSOCIATION LA REGIE DES QUARTIERS DE LAGABARE (AGIR BATIR REUSSIR POUR L’EMPLOI),Bègles,33130,33,2022-06-12,2022-06-03,Autre jugement prononçant,Jugement prononçant,A202201132030
450820550,ASSOCIATION REGIMARK,Vire,14500,14,2022-11-18,2022-10-31,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202202242728
