siren,nom,ville,code_postal,departement,date_parution,date_jugement,nature_jugement,famille_jugement,bodacc_id
909072738,Genette Club,La Rochelle,17000,17,2025-06-15,2025-06-10,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202501132173
851794099,BEACH CLUB,Paris,75018,75,2025-07-08,2025-06-20,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202501293723
450815451,CLUB HIPPIQUE DE CARNOUX EN PROVENCE,Carnoux-en-Provence,13470,13,2024-10-10,2024-10-07,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202401972190
883785974,UNION VISUAL,Acigné,35690,35,2025-12-21,2025-12-10,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202502452841
442374328,LA MAISON DES COIFFEURS,Neuville Saint-Remy,59554,59,2024-05-26,2024-05-15,Jugement prononçant la résolution du plan de redressement et la liquidation judiciaire,Extrait de jugement,A202401001685
931589923,TOM'S CLUB,Saint-Denis,97400,974,2026-04-30,2026-04-21,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202600837417
484652284,ANNECY TRAMPOLINE CLUB DE SPORT,ANNECY,74000,74,2026-04-29,2026-04-10,Autre jugement et ordonnance,Extrait de jugement,A202600821578
885130914,SLIDE EAT CLUB,Bruges,33520,33,2024-12-06,2024-11-27,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202402362052
822097879,MY FITNESS CLUB,Marseille 13e Arrondissement,13013,13,2023-08-13,2023-08-09,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202301551833
807737150,THE CLUB,Cergy,95000,95,2025-03-19,2025-03-10,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202500552777
753350248,MOTO CLUB DE BOADE,SENEZ,04330,04,2026-04-24,2026-04-09,Autre jugement et ordonnance,Extrait de jugement,A202600793049
419508379,Fédération nationale des réservistes opérationnels et citoyens de la gendarmerie natioanale - Sigle : ANORGEND -,Paris,75002,75,2025-06-20,2025-06-04,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202501171558
851877167,MJC,Boulogne-sur-Mer,62200,62,2024-07-09,2024-06-27,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202401313182
994914570,HB Fitness Club,Montgermont,35760,35,2026-04-19,2026-04-08,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202600752443
504471640,BATTLING CLUB,Paris,75010,75,2024-02-29,2024-02-13,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202400422562
479612392,URBAN FITNESS CLUB,Laval,53000,53,2024-03-12,2024-03-06,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202400504302
383689676,HAVRE ATHLETIC CLUB HANDBALL,LE HAVRE,76600,76,2026-04-17,2026-04-13,Autre jugement et ordonnance,Extrait de jugement,A202600744133
438105785,FEDERATION ASSOCIATIVE COLUMERINE (F.A.C.),COLOMIERS,31770,31,2025-10-19,2025-10-13,Autre jugement et ordonnance,Extrait de jugement,A202502012642
927628024,LE NESS CLUB,Naves,59161,59,2026-04-16,2026-04-07,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202600732405
339422289,CMG SPORTS CLUB,Paris,75017,75,2026-04-14,2026-03-27,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202600712410
878792589,CLUB CHAMPS ELYSEES,Paris,75017,75,2026-04-14,2026-03-27,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202600712409
781460407,AMICALE SPORTIVE NIORTAISE,NIORT,79000,79,2026-04-12,2026-04-08,Autre jugement et ordonnance,Extrait de jugement,A202600702931
800336240,LE MANHATTAN CLUB,Magny-en-Vexin,95420,95,2024-12-24,2024-12-13,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202402483718
437788300,UNION MUTUALISTE DE GESTION DES ETATBLISSEMENTS DU GRAND LYON,Vénissieux,69200,69,2023-08-11,2023-07-03,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202301541606
824812317,LE CLUB DU CENTRE J&J,Agen,47000,47,2023-05-21,2023-05-17,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202300974424
311665152,MJC ALIENOR D'AQUITAINE,POITIERS,86000,86,2026-04-03,2026-03-30,Autre jugement et ordonnance,Extrait de jugement,A202600653548
499692770,CLUB DOJO ST LEU,ST LEU,97424,974,2026-04-02,2026-03-31,Autre jugement et ordonnance,Extrait de jugement,A202600643260
809741127,FAMILLES RURALES FEDERATION DE LA REUNION,LE TAMPON,97430,974,2026-01-31,2026-01-28,Autre jugement et ordonnance,Extrait de jugement,A202600213054
824648224,YACK - CONDUITE CLUB,Saint-Maur-des-Fossés,94100,94,2025-09-19,2025-09-10,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202501803341
939063145,SAS Niort Rugby Club,Niort,79000,79,2026-03-15,2026-03-12,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202600512745
314560905,LIGUE GUADELOUPEENNE DE FOOTBALL,Pointe-à-Pitre,97110,971,2024-05-29,2025-04-29,Jugement modifiant le plan de redressement,Extrait de jugement,A202401023377
491421525,ECURIE PONEY CLUB DE L'ANTONNIERE,La Milesse,72650,72,2025-04-03,2025-03-25,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202500663161
935121566,ALPHA CLUB MONTGENEVRE,Briançon,05100,05,2025-03-07,2025-03-05,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202500471673
323912899,COMITE DEPARTEMENTAL D’INTERVENTION ET D’ANIMATION POUR L’AUTONOMIE (CIAPA),Pau,64000,64,2024-04-24,2024-04-02,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202400812940
952234771,CLUB 22 DANCE,Haute-Avesnes,62144,62,2026-03-27,2026-03-18,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202600601533
903850907,RECRUITER'S CLUB,Saint-Herblain,44800,44,2026-03-27,2026-03-11,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202600601391
