siren,nom,ville,code_postal,departement,date_parution,date_jugement,nature_jugement,famille_jugement,bodacc_id,nom_officiel,nature_juridique,tranche_effectif,activite_principale,categorie,etat,rna
923299093,Association ACCES MEDECINE SANTE RENE LABORIE,Paris,75002,75,2026-04-30,2026-04-15,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202600836732,ACCES MEDECINE SANTE RENE LABORIE,9220,21,86.21Z,PME,A,W751268914
501971568,ASSOCIATION INTEGR'A DOM,BRIVE LA GAILLARDE,19100,19,2026-04-30,2026-04-29,Autre jugement et ordonnance,Extrait de jugement,A202600835416,INTEGR' A DOM,9220,03,96.09Z,PME,A,W191000826
879360014,ASSOCIATION DENTAIRE DE REUILLY - Sigle: A.D.R,Paris,75012,75,2026-04-30,2026-04-14,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202600836730,ASSOCIATION DENTAIRE DE REUILLY (A.D.R.),9220,02,86.23Z,PME,A,W751254634
901024851,ASSOCIATION ACCES MEDECINE SANTE ROUEN,ROUEN,76000,76,2026-04-29,2026-04-20,Autre jugement et ordonnance,Extrait de jugement,A202600821601,ASSOCIATION ACCES MEDECINE SANTE ROUEN (A.M.S.R.),9220,12,86.21Z,PME,A,W763019186
328180096,ASSOCIATION POUR L’ENSEIGNEMENT ET LA FORMATION DES TRAVAILLEURS IMMIGRES ET LEURS FAMILLES,Mâcon,71000,71,2024-10-24,2024-10-11,Autre jugement prononçant,Jugement prononçant,A202402071922,ASSOC POUR ENSEIGNEMENT ET FORMATION DES TRAVAILLEURS IMMIGRES ET LEURS FAMILLES  DE S ET LOIRE - ESPACE FORMATION 71 (AEFTI-EF 71),9220,11,88.99B,PME,A,W715001037
819596123,association AHIMSA,Paris,75008,75,2026-04-26,2026-04-09,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202600802797,AHIMSA ASSOCIATION,9220,00,94.99Z,PME,A,W751229777
776803744,ASSOCIATION FAMILIALE RURALE,Gardouch,31290,31,2024-06-13,2024-05-21,Jugement arrêtant un plan de cession,Extrait de jugement,A202401132090,ASSOCIATION FAMILIALE RURALE,9220,03,94.99Z,PME,A,W313025258
909163941,Association CENTRE DE SANTE MEDICO DENTAIRE ASNIERES SUR SEINE,Asnières-sur-Seine,92600,75,2026-04-24,2026-04-08,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202600794080,CENTRE DE SANTE MEDICO DENTAIRE ASNIERES SUR SEINE,9220,11,86.23Z,PME,A,W922019094
918068875,Association UNION NATIONALE FRANCE RUSSIE CEI - Sigle: FRANCEIRUS,Paris,75010,75,2026-04-24,2026-04-08,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202600794084,UNION NATIONALE FRANCE RUSSIE CEI (FRANCEIRUS),9220,01,88.99B,PME,A,W141577811
832068654,Association CENTRE DE SANTE MEDICO DENTAIRE SAINT-DENIS - Sigle: C.S.M.D.S.D,Saint-Denis,93200,75,2026-04-24,2026-04-08,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202600794082,CENTRE DE SANTE MEDICO DENTAIRE SAINT-DENIS (C.S.M.D.S.D.),9220,11,86.23Z,PME,A,W931016516
923178503,Association CENTRE DE SANTE MEDICO DENTAIRE TRAPPES,Trappes,78190,75,2026-04-24,2026-04-08,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202600794083,CENTRE DE SANTE MEDICO DENTAIRE TRAPPES,9220,NN,86.23Z,PME,A,W784010886
