siren,nom,ville,code_postal,departement,date_parution,date_jugement,nature_jugement,famille_jugement,bodacc_id,nom_officiel,nature_juridique,tranche_effectif,activite_principale,categorie,etat
300462538,ASSOCIATION SYNDICAT DEPARTEMENTAL DE LA BOULANGERIE DE L’EURE,,,27,2022-12-31,,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202202552311,LA BOULANGERIE DE L EURE,9220,NN,94.11Z,,A
412024259,ASSOCIATION GROUPEMENT D’EMPLOYEURS D’ILLE ET VILLAINE,Châteaugiron,35410,35,2022-12-29,2022-12-12,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202202531681,GROUPEMENT D'EMPLOYEURS D'I ET V (GE 35),9223,NN,74.5A,,A
348796509,ASSOCIATION DEPANN’FAMILLES GARDES D’ENFANTS,Lyon,69001,69,2022-12-29,2022-12-13,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202202531724,DEPANN FAMILLES GARDES D'ENFANTS,9220,NN,88.99B,PME,A
841475312,ASSOCIATION GARAGE LA DERNIERE CHANCE,Outreau,62230,62,2022-12-29,2022-12-15,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202202531713,GARAGE LA DERNIERE CHANCE,9220,NN,94.99Z,,A
423665876,ASSOCIATION ESSOR,Roubaix,59100,59,2021-03-09,2021-02-05,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202100473012,ESSOR,9220,NN,88.10A,PME,A
799067053,L’ASSOCIATION SEPT LIEUX,Roubaix,59100,59,2022-12-25,2022-12-02,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202202502143,SEPT LIEUX,9220,NN,90.02Z,PME,A
350502548,ASSOCIATION ESPOIR,Roubaix,59100,59,2021-03-09,2021-02-05,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202100473011,,,,,,
504769415,ASSOCIATION VIVAD - VIVRE A DOMICILE - AIDE A LA PERSONNE,Paris,75005,75,2020-01-07,2019-12-12,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202000041365,VIVAD-VIVRE A DOMICILE-AIDE A LA PERSONNE,9220,NN,88.10A,PME,A
798336798,ASSOCIATION LAUTRIE-GUILBERT,Houplines,59116,59,2021-12-21,2021-12-03,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202102476824,ASSOCIATION LAUTRIE GUILBERT,9220,NN,90.03B,PME,A
484642012,ASSOCIATION FEDERATION DE CARNAVAL TROPICAL DE PARIS ET D’ILE DE FRANCE,Paris,75020,75,2021-10-05,2021-09-23,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202101945558,FEDER DE CARNAV TROP PARIS ET D IDF (F C T P I F),9220,NN,90.01Z,PME,A
442314936,ASSOCIATION AINA WORLD,Paris,75020,75,2021-06-22,2021-06-03,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202101203338,AINA,9220,NN,85.59B,PME,A
840989263,ASSOCIATION BETTER WORLD FORUM,Paris,75005,75,2020-06-24,2020-05-14,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202001212318,BETTER WORLD FORUM (BWF),9220,NN,88.99B,PME,A
481655256,ASSOCIATION DE LA PISTE A LA SCENE - ECOLE DES ARTS DU CIRQUE,Compiègne,60200,60,2022-12-23,2022-11-18,Autre jugement de clôture,Jugement de clôture,A202202492229,PISTE A SCENE...VIENS FAIRE TON CIRQUE,9220,NN,85.59B,PME,A
420090029,ASSOCIATION STUDI HA DUDI,Plésidy,22720,22,2021-12-09,2021-11-26,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202102391807,STUDI HA DUDI,9220,NN,94.99Z,,A
779188267,ASSOCIATION PACEI,Paris,63100,63,2021-10-15,2021-10-06,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202102023661,P A C E I,9220,NN,85.59A,PME,A
492319371,ASSOCIATION UNE IDEE DERRIERE L’ECRAN,Saint-Martin-de-Crau,13310,13,2022-12-22,2022-12-08,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202202483270,UNE IDEE DERRIERE L ECRAN,9220,NN,94.99Z,,C
380814871,ASSOCIATION CLUB DE NATATION USLM PACOUSSINES,Remire-Montjoly,97354,973,2022-12-20,2022-12-02,Autre jugement et ordonnance,Extrait de jugement,A202202463757,CLUB DE NATATION LES PACOUSSINES,9220,03,93.12Z,PME,A
499270643,SCI LE RUISSEAU - ASSOCIATION DES RESSOURCES HUMAINES POUR L’ACCUEIL DANS LA VIENNE,Vivonne,86370,86,2022-12-20,2020-02-25,Autre arrêt de la Cour d'Appel,Arrêt de la Cour d'Appel,A202202463653,SELARL FREDERIC BLANC - MJO - MANDATAIRES JUDICIAIRES (MJO),5485,03,69.10Z,PME,A
780341814,ASSOCIATION RESTAU VOULDY,Saint-Julien-les-Villas,10800,10,2020-08-18,2020-07-20,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202001592766,RESTAU VOULDY,9220,NN,56.29B,PME,A
509317590,ASSOCIATION LE THEATRE DE LA RENCONTRE SCENIQUE,Bordeaux,33300,33,2022-12-14,2022-12-02,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202202422406,LE THEATRE DE LA RENCONTRE SCENIQUE,9220,NN,90.01Z,PME,A
803343466,ASSOCIATION 1001 PRODSRECORDS,Authieux-Ratiéville,76690,76,2022-12-11,2022-12-01,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202202402196,ASSOCIATION 1001PRODSRECORDS,9220,NN,90.01Z,PME,A
820209872,ASSOCIATION LA MEUTE,Authieux-Ratiéville,76690,76,2022-12-11,2022-12-01,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202202402197,LA MEUTE,9220,NN,90.01Z,PME,A
321692394,ASSOCIATION CULTURE ET EXPRESSIONS,Toulon,83000,83,2022-12-08,2022-11-28,Dépôt de l'état des créances,Avis de dépôt,A202202383467,ASSOCIATION CULTURE ET EXPRESSIONS,9220,NN,94.99Z,PME,A
507576627,L’ASSOCIATION RESEAU D’INGENIERIE SOCIALE POUR L’INSERTION ET L’EMPLOI,Fort-de-France,97200,972,2022-12-08,2022-11-28,Jugement de conversion en liquidation judiciaire,Jugement prononçant,A202202383631,RISHOME,9220,NN,88.99B,PME,A
789077799,ASSOCIATION MOTO-CLUB DU PEYRE,Saint-Maur,32300,32,2022-07-31,2022-07-19,Liste des créances nées après le jugement d'ouverture d'une procédure de liquidation judiciaire,Avis de dépôt,A202201471969,MOTO-CLUB DU PEYRE,9220,NN,93.12Z,,C
381218064,ASSOCIATION PASREL ENTREPRISE,Sainte-Clotilde,97490,974,2022-12-07,2022-11-22,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202202372003,PASREL ENTREPRISE,9220,NN,81.21Z,PME,A
821895794,ASSOCIATION JEUNESSE COMORIENS OCEAN INDIEN MOJA,Saint-Benoît,97470,974,2021-02-14,2021-01-19,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202100312874,MOJA,9220,NN,88.99B,PME,A
