siren,nom,ville,code_postal,departement,date_parution,date_jugement,nature_jugement,famille_jugement,bodacc_id,nom_officiel,nature_juridique,tranche_effectif,activite_principale,categorie,etat,rna
909072738,Genette Club,La Rochelle,17000,17,2025-06-15,2025-06-10,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202501132173,GENETTE CLUB,5499,NN,93.13Z,PME,A,
851794099,BEACH CLUB,Paris,75018,75,2025-07-08,2025-06-20,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202501293723,BEACH CLUB,5710,NN,56.10A,,C,
450815451,CLUB HIPPIQUE DE CARNOUX EN PROVENCE,Carnoux-en-Provence,13470,13,2024-10-10,2024-10-07,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202401972190,CLUB HIPPIQUE DE CARNOUX EN PROVENCE,5499,01,85.51Z,PME,A,
883785974,UNION VISUAL,Acigné,35690,35,2025-12-21,2025-12-10,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202502452841,UNION VISUAL,5499,NN,73.11Z,PME,A,
442374328,LA MAISON DES COIFFEURS,Neuville Saint-Remy,59554,59,2024-05-26,2024-05-15,Jugement prononçant la résolution du plan de redressement et la liquidation judiciaire,Extrait de jugement,A202401001685,LA MAISON DES COIFFEURS (MDC GROUP),5499,11,46.45Z,PME,A,
931589923,TOM'S CLUB,Saint-Denis,97400,974,2026-04-30,2026-04-21,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202600837417,TOM'S CLUB (TOM'S CLUB),5710,NN,56.10C,,A,
484652284,ANNECY TRAMPOLINE CLUB DE SPORT,ANNECY,74000,74,2026-04-29,2026-04-10,Autre jugement et ordonnance,Extrait de jugement,A202600821578,ANNECY TRAMP ACROSP TRAMPO SPORT ACROB,9220,01,93.12Z,PME,A,W741000527
885130914,SLIDE EAT CLUB,Bruges,33520,33,2024-12-06,2024-11-27,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202402362052,SLIDE EAT CLUB,5710,NN,56.10A,PME,A,
822097879,MY FITNESS CLUB,Marseille 13e Arrondissement,13013,13,2023-08-13,2023-08-09,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202301551833,MY FITNESS CLUB,5710,02,93.13Z,PME,C,
807737150,THE CLUB,Cergy,95000,95,2025-03-19,2025-03-10,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202500552777,THE CLUB (LE TIME SQUARE),5710,00,56.10C,PME,A,
753350248,MOTO CLUB DE BOADE,SENEZ,04330,04,2026-04-24,2026-04-09,Autre jugement et ordonnance,Extrait de jugement,A202600793049,MOTO CLUB DE BOADE,9220,NN,85.51Z,,A,W043000476
419508379,Fédération nationale des réservistes opérationnels et citoyens de la gendarmerie natioanale - Sigle : ANORGEND -,Paris,75002,75,2025-06-20,2025-06-04,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202501171558,FEDERATION NATIONALE DES RESERVISTES OPERATIONNELS ET CITOYENS DE LA GENDARMERIE NATIONALE (ANORGEND),9220,NN,94.99Z,,A,W751123362
851877167,MJC,Boulogne-sur-Mer,62200,62,2024-07-09,2024-06-27,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202401313182,MJC,5499,02,56.10A,PME,A,
994914570,HB Fitness Club,Montgermont,35760,35,2026-04-19,2026-04-08,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202600752443,HB FITNESS CLUB,5499,NN,93.29Z,,A,
504471640,BATTLING CLUB,Paris,75010,75,2024-02-29,2024-02-13,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202400422562,BATTLING CLUB,5710,02,93.12Z,PME,A,
479612392,URBAN FITNESS CLUB,Laval,53000,53,2024-03-12,2024-03-06,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202400504302,URBAN FITNESS CLUB,5499,01,85.51Z,PME,C,
383689676,HAVRE ATHLETIC CLUB HANDBALL,LE HAVRE,76600,76,2026-04-17,2026-04-13,Autre jugement et ordonnance,Extrait de jugement,A202600744133,HAVRE ATHETIC CLUB SECTION HANDBALL,9220,11,93.12Z,PME,A,W762000714
438105785,FEDERATION ASSOCIATIVE COLUMERINE (F.A.C.),COLOMIERS,31770,31,2025-10-19,2025-10-13,Autre jugement et ordonnance,Extrait de jugement,A202502012642,FEDERATION ASSOCIATIVE COLUMERINE (FAC),9220,NN,94.99Z,,A,W313000943
