siren,nom,ville,code_postal,departement,date_parution,date_jugement,nature_jugement,famille_jugement,bodacc_id
,ASSOCIATION ACCES MEDECINE SANTE VENDEE,Les Sables d'Olonne,85100,92,2026-04-30,2025-12-02,Jugement de conversion en liquidation judiciaire,Jugement prononçant,A202600837221
923299093,Association ACCES MEDECINE SANTE RENE LABORIE,Paris,75002,75,2026-04-30,2026-04-15,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202600836732
501971568,ASSOCIATION INTEGR'A DOM,BRIVE LA GAILLARDE,19100,19,2026-04-30,2026-04-29,Autre jugement et ordonnance,Extrait de jugement,A202600835416
,ASSOCIATION POUR LA RECHERCHE ET DEVELOPPEMENT DES PROGRAMMES DANS L'ENSEIGNEMENT SUPERIEUR,Boulogne-Billancourt,92100,92,2026-04-30,2025-09-10,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202600837206
879360014,ASSOCIATION DENTAIRE DE REUILLY - Sigle: A.D.R,Paris,75012,75,2026-04-30,2026-04-14,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202600836730
,ASSOCIATION ACCES MEDECINE SANTE VENDEE,Les Sables d'Olonne,85100,92,2026-04-30,2025-09-18,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202600837205
901024851,ASSOCIATION ACCES MEDECINE SANTE ROUEN,ROUEN,76000,76,2026-04-29,2026-04-20,Autre jugement et ordonnance,Extrait de jugement,A202600821601
328180096,ASSOCIATION POUR L'ENSEIGNEMENT ET LA FORMATION DES TRAVAILLEURS IMMIGRES ET LEURS FAMILLES,MACON,71000,71,2026-04-28,2026-04-23,Autre jugement et ordonnance,Extrait de jugement,A202600815342
819596123,association AHIMSA,Paris,75008,75,2026-04-26,2026-04-09,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202600802797
776803744,ASSOCIATION FAMILIALE RURALE,GARDOUCH,31290,31,2026-04-26,2026-04-23,Autre jugement et ordonnance,Extrait de jugement,A202600802545
909163941,Association CENTRE DE SANTE MEDICO DENTAIRE ASNIERES SUR SEINE,Asnières-sur-Seine,92600,75,2026-04-24,2026-04-08,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202600794080
918068875,Association UNION NATIONALE FRANCE RUSSIE CEI - Sigle: FRANCEIRUS,Paris,75010,75,2026-04-24,2026-04-08,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202600794084
832068654,Association CENTRE DE SANTE MEDICO DENTAIRE SAINT-DENIS - Sigle: C.S.M.D.S.D,Saint-Denis,93200,75,2026-04-24,2026-04-08,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202600794082
923178503,Association CENTRE DE SANTE MEDICO DENTAIRE TRAPPES,Trappes,78190,75,2026-04-24,2026-04-08,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202600794083
923186787,Association CENTRE DE SANTE MEDICO DENTAIRE CREIL (CSMDCR),Creil,60100,75,2026-04-24,2026-04-08,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202600794081
311441612,AAPIQ Association d'animation populaire inter-quartiers,ROCHEFORT,17300,17,2026-04-23,2026-04-20,Autre jugement et ordonnance,Extrait de jugement,A202600782145
433318607,ASSOCIATION PATRIMOINE ET SAVOIRS,PETIT-CANAL,97131,971,2026-04-23,2026-04-21,Autre jugement et ordonnance,Extrait de jugement,A202600782232
832572689,ASSOCIATION RESEAU D’ECHANGES ET DE RESTAURATION (RER),Sarcelles,95200,95,2026-04-22,2026-04-09,Autre jugement et ordonnance,Extrait de jugement,A202600771998
410393482,ASSOCIATION ERMONT BALZAC,ERMONT,95120,95,2026-04-21,2026-04-17,Autre jugement et ordonnance,Extrait de jugement,A202600766013
818007460,Association FRANCAIS POUR L'INSERTION SOCIALE ET PROFESSIONNELLE EN EUROPE - Sigle: FISPE,Paris,75017,75,2026-04-21,2025-10-16,Dépôt de l'état des créances,Avis de dépôt,A202600765770
332618131,ASSOCIATION PARTAGE SOLIDARITE PAR LE TRAVAIL ECOMMOY,Ecommoy,72220,72,2026-04-21,2026-04-14,Jugement d'ouverture d'une procédure de sauvegarde,Jugement d'ouverture,A202600765701
319606331,association FEDERATION DES COLLECTIFS EN GESTION ET ACCOMPAGNEMENT (anciennement dénommée FEDERATION CENTRES GESTION AGREES),Paris),75017,75,2026-04-19,2026-04-02,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202600752780
924289200,Association BILINGUAL INTERNATIONAL SECONDARY SCHOOL PARIS - Sigle: BISSP,Paris,75015,75,2026-04-19,2026-04-02,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202600752756
890759152,association LANTANA PAYSAGISTES ENSEMBLE - Sigle:ALPE,Paris,75008,75,2026-04-19,2026-04-02,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202600752781
878311208,ASSOCIATION CENTRE DE SANTE MEDICO DENTAIRE SAINT-GEORGES (C.S.D.S.G),Nancy,54000,75,2026-04-19,2025-11-17,Dépôt de l'état des créances,Avis de dépôt,A202600752805
494991433,EUROPEAN ASSOCIATION FOR SCIENTIFIC CAREER ORIENTATION,PARAY VIEILLE POSTE,91550,91,2026-04-19,2026-04-16,Autre jugement et ordonnance,Extrait de jugement,A202600752969
,ASSOCIATION BATEAUX PARTAGES,Lyon,69001,69,2026-04-17,2026-04-08,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202600743820
412243784,ASSOCIATION CINEM'AUDE VAP,NARBONNE,11100,11,2026-04-16,2026-04-13,Autre jugement et ordonnance,Extrait de jugement,A202600732147
521945394,association CREADIFFUSION,Paris,75002,75,2026-04-16,2026-03-31,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202600732466
319588679,ASSOCIATION REUNIONNAISE EDUCATION POPULAIRE,SAINT- PIERRE,97410,974,2026-04-16,2026-04-09,Autre jugement et ordonnance,Extrait de jugement,A202600732641
893641902,"FLUMINE § AERINE, LES DEUX TURQUOISES, ASSOCIATION DES USAGERS DES ESPACES MARITIMES ET AERIENS",ROISSY-EN-FRANCE,95700,95,2026-04-15,2026-04-09,Autre jugement et ordonnance,Extrait de jugement,A202600722778
905118550,Association SYGMA SANTE,Paris,75010,75,2026-04-14,2026-03-27,Jugement d'extension d'une procédure de redressement judiciaire,Jugement d'ouverture,A202600712401
,Association Mosellane d'Aide aux Personnes Agées,LE BAN ST MARTIN,57050,57,2026-04-14,2026-04-07,Autre jugement et ordonnance,Extrait de jugement,A202600712230
843490129,Association ARTS ET TECHNIQUES DU SPECTACLE,Paris,75020,75,2026-04-14,2026-03-27,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202600712400
484675012,ASSOCIATION ASALEE,Paris,75020,75,2026-04-14,2026-03-27,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202600712398
