siren,nom,ville,code_postal,departement,date_parution,date_jugement,nature_jugement,famille_jugement,bodacc_id
803143023,ASSOCIATION DE LA REUNION POUR L’INSERTION ET LA FORMATION,Sainte-Suzanne,97441,974,2022-12-31,2022-12-06,Autre jugement prononçant,Jugement prononçant,A202202552504
300462538,ASSOCIATION SYNDICAT DEPARTEMENTAL DE LA BOULANGERIE DE L’EURE,,,27,2022-12-31,,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202202552311
843501776,ASSOCIATION COMMUNICATION EDITION,Châlons-en-Champagne,51000,51,2022-12-31,2022-12-13,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202202552369
841794829,ASSOCIATION ARTOIS DOM DOMICILE,Bruay-la-Buissière,62700,62,2022-12-30,2022-11-23,Autre jugement prononçant,Jugement prononçant,A202202542509
841530413,ASSOCIATION LES ATELIERS DE TISSE 1 LIEN,Annequin,62149,62,2022-12-30,2022-11-23,Autre jugement prononçant,Jugement prononçant,A202202542510
,ASSOCIATION NOV@LOG,Le Havre,76600,76,2022-12-30,2022-12-12,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202202542669
412024259,ASSOCIATION GROUPEMENT D’EMPLOYEURS D’ILLE ET VILLAINE,Châteaugiron,35410,35,2022-12-29,2022-12-12,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202202531681
400821187,ASSOCIATION RE-SOURCE,Montmorency,95160,95,2022-12-29,2022-12-15,Autre jugement prononçant,Jugement prononçant,A202202531886
,ASSOCIATION VITAVIE,Brienon-sur-Armançon,89210,89,2022-12-29,2022-12-05,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202202531827
775645625,ASSOCIATION LA MAISON DE CROIX-LUIZET,Villeurbanne,69100,69,2022-12-29,2022-12-14,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202202531722
449738491,ASSOCIATION UNION AFRICAINE DE GRAND COURONNE,Grand-Couronne,76530,76,2022-12-29,2022-12-15,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202202531806
348796509,ASSOCIATION DEPANN’FAMILLES GARDES D’ENFANTS,Lyon,69001,69,2022-12-29,2022-12-13,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202202531724
841475312,ASSOCIATION GARAGE LA DERNIERE CHANCE,Outreau,62230,62,2022-12-29,2022-12-15,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202202531713
777752023,ASSOCIATION CENTRE LES BRUYERES,Bréal-sous-Montfort,35310,35,2022-12-29,2022-12-12,Jugement d'ouverture d'une procédure de sauvegarde,Jugement d'ouverture,A202202531680
,"ASSOCIATION FONCIERE URBAINE LIBRE, ILOT PANNECAU",Bayonne,64100,64,2022-12-27,2022-12-12,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202202513529
904840386,ASSOCIATION O.H.A.,Rouen,76000,76,2022-12-27,2022-12-08,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202202513611
,ASSOCIATION SOLIDARITERRE,Lormont,33310,33,2022-12-25,2022-12-15,Liste des créances nées après le jugement d'ouverture d'une procédure de liquidation judiciaire,Avis de dépôt,A202202502120
423665876,ASSOCIATION ESSOR,Roubaix,59100,59,2022-12-25,2022-12-02,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202202502141
799067053,L’ASSOCIATION SEPT LIEUX,Roubaix,59100,59,2022-12-25,2022-12-02,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202202502143
