siren,nom,ville,code_postal,departement,date_parution,date_jugement,nature_jugement,famille_jugement,bodacc_id
909072738,Genette Club,La Rochelle,17000,17,2026-05-02,2026-04-24,Liste des créances nées après le jugement d'ouverture d'une procédure de liquidation judiciaire,Avis de dépôt,A202600841143
,Association pour les Transferts de Technologies du Mans,Le Mans,72000,72,2026-05-02,2026-04-12,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202600841270
851794099,BEACH CLUB,Paris,75018,75,2026-04-30,2026-04-15,Jugement de clôture pour insuffisance d'actif,Jugement de clôture,A202600836794
450815451,CLUB HIPPIQUE DE CARNOUX EN PROVENCE,Carnoux-en-Provence,13470,13,2026-04-30,2026-04-27,Jugement de plan de redressement,Extrait de jugement,A202600835248
,"la FONDATION ALILA, fondation d'entreprise",Lyon,69006,69,2026-04-30,2026-04-22,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202600836516
,ASSOCIATION ACCES MEDECINE SANTE VENDEE,Les Sables d'Olonne,85100,92,2026-04-30,2025-12-02,Jugement de conversion en liquidation judiciaire,Jugement prononçant,A202600837221
883785974,UNION VISUAL,Acigné,35690,35,2026-04-30,2026-04-21,Dépôt de l'état des créances et du projet de répartition,Avis de dépôt,A202600835719
923299093,Association ACCES MEDECINE SANTE RENE LABORIE,Paris,75002,75,2026-04-30,2026-04-15,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202600836732
501971568,ASSOCIATION INTEGR'A DOM,BRIVE LA GAILLARDE,19100,19,2026-04-30,2026-04-29,Autre jugement et ordonnance,Extrait de jugement,A202600835416
,ASSOCIATION POUR LA RECHERCHE ET DEVELOPPEMENT DES PROGRAMMES DANS L'ENSEIGNEMENT SUPERIEUR,Boulogne-Billancourt,92100,92,2026-04-30,2025-09-10,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202600837206
879360014,ASSOCIATION DENTAIRE DE REUILLY - Sigle: A.D.R,Paris,75012,75,2026-04-30,2026-04-14,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202600836730
,ASSOCIATION ACCES MEDECINE SANTE VENDEE,Les Sables d'Olonne,85100,92,2026-04-30,2025-09-18,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202600837205
442374328,LA MAISON DES COIFFEURS,Neuville Saint-Remy,59554,59,2026-04-30,2026-04-22,Liste des créances nées après le jugement d'ouverture d'une procédure de liquidation judiciaire,Avis de dépôt,A202600836197
931589923,TOM'S CLUB,Saint-Denis,97400,974,2026-04-30,2026-04-21,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture,A202600837417
901024851,ASSOCIATION ACCES MEDECINE SANTE ROUEN,ROUEN,76000,76,2026-04-29,2026-04-20,Autre jugement et ordonnance,Extrait de jugement,A202600821601
484652284,ANNECY TRAMPOLINE CLUB DE SPORT,ANNECY,74000,74,2026-04-29,2026-04-10,Autre jugement et ordonnance,Extrait de jugement,A202600821578
,SYNDICAT DEPARTEMENTAL FORCE OUVRIERE DES PERSONNE LS DES COLLECTIVITES AFFILIEES AU CDG 86,CHASSENEUIL DU POITOU,86360,86,2026-04-28,2026-04-24,Autre jugement et ordonnance,Extrait de jugement,A202600815489
328180096,ASSOCIATION POUR L'ENSEIGNEMENT ET LA FORMATION DES TRAVAILLEURS IMMIGRES ET LEURS FAMILLES,MACON,71000,71,2026-04-28,2026-04-23,Autre jugement et ordonnance,Extrait de jugement,A202600815342
,"CLUB DE FOOTBALL AMERICAIN ARMORICAIN ""LES MARINERS""",VANNES,56000,56,2026-04-28,2026-04-24,Autre jugement et ordonnance,Extrait de jugement,A202600815212
819596123,association AHIMSA,Paris,75008,75,2026-04-26,2026-04-09,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture,A202600802797
