siren,date_jugement,nature_jugement,famille_jugement
538356312,2015-10-29,Dépôt de l'état des créances,Avis de dépôt
810090530,2019-01-10,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture
533733937,2019-10-11,Autre avis de dépôt,Avis de dépôt
413627894,2020-05-28,Liste des créances nées après le jugement d'ouverture d'une procédure de liquidation judiciaire,Avis de dépôt
804843894,2020-10-01,Jugement de clôture pour insuffisance d'actif,Jugement de clôture
494576382,2021-08-16,Dépôt de l'état des créances,Avis de dépôt
442122396,2022-01-02,Dépôt de l'état des créances et du projet de répartition,Avis de dépôt
807444641,2022-01-24,Autre jugement prononçant,Jugement prononçant
814150207,2022-01-24,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture
845180918,2022-01-24,Autre jugement prononçant,Jugement prononçant
894113851,2022-04-08,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture
792364986,2022-06-07,Autre jugement et ordonnance,Extrait de jugement
385208590,2022-09-08,Dépôt de l'état des créances,Avis de dépôt
498303320,2022-09-12,Dépôt de l'état des créances,Avis de dépôt
347506552,2022-09-22,Dépôt de l'état des créances Loi de 1985,Avis de dépôt
807402763,2022-10-06,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
812396315,2022-10-12,Dépôt de l'état des créances,Avis de dépôt
508433885,2022-10-28,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture
525250452,2022-10-28,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture
528825565,2022-10-28,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture
847609831,2022-11-04,Jugement d'ouverture d'une procédure de sauvegarde,Jugement d'ouverture
508240165,2022-11-18,Dépôt de l'état des créances,Avis de dépôt
393247788,2022-11-23,Liste des créances nées après le jugement d'ouverture d'une procédure de liquidation judiciaire,Avis de dépôt
777927203,2022-11-29,Autre jugement d'ouverture,Jugement d'ouverture
302792221,2022-12-09,Jugement d'ouverture d'une procédure de sauvegarde,Jugement d'ouverture
449983972,2022-12-13,Jugement de clôture pour insuffisance d'actif,Jugement de clôture
843138314,2022-12-16,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
481052744,2022-12-19,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
832077978,2022-12-19,Liste des créances nées après le jugement d'ouverture d'une procédure de liquidation judiciaire,Avis de dépôt
825267370,2022-12-20,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
781621149,2022-12-21,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture
793792631,2022-12-21,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
794570556,2022-12-29,Autre jugement prononçant,Jugement prononçant
788883452,2022-12-30,Jugement de clôture pour insuffisance d'actif,Jugement de clôture
750359093,2023-01-23,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
331349837,2023-01-24,Autre jugement de clôture,Jugement de clôture
377920665,2023-01-24,Autre jugement et ordonnance,Extrait de jugement
881881254,2023-01-24,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
835197526,2023-02-03,Autre jugement et ordonnance,Extrait de jugement
434709333,2023-02-09,Jugement de clôture pour insuffisance d'actif,Jugement de clôture
839650025,2023-02-09,Autre jugement prononçant,Jugement prononçant
529526642,2023-02-14,Jugement de clôture pour insuffisance d'actif,Jugement de clôture
403680275,2023-02-28,Jugement de clôture pour insuffisance d'actif,Jugement de clôture
512807165,2023-03-01,Dépôt de l'état des créances,Avis de dépôt
531492312,2023-03-02,Autre jugement prononçant,Jugement prononçant
441731338,2023-03-06,Dépôt de l'état des créances,Avis de dépôt
540042991,2023-03-17,Dépôt de l'état des créances,Avis de dépôt
788494649,2023-03-21,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
381938133,2023-03-28,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
408338135,2023-04-04,Jugement de clôture pour insuffisance d'actif et autorisant la reprise des poursuites individuelles,Jugement de clôture
410670616,2023-04-04,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture
534871207,2023-04-04,Jugement de conversion en redressement judiciaire de la procédure de sauvegarde,Jugement prononçant
387766918,2023-04-07,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
831216866,2023-04-11,Autre jugement prononçant,Jugement prononçant
403793201,2023-04-21,Jugement de clôture pour insuffisance d'actif,Jugement de clôture
512852831,2023-04-25,Jugement de conversion en liquidation judiciaire,Jugement prononçant
498837129,2023-05-02,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
491440822,2023-05-04,Jugement de clôture pour insuffisance d'actif,Jugement de clôture
778488510,2023-05-04,Jugement de clôture pour insuffisance d'actif,Jugement de clôture
884033861,2023-05-05,Jugement de clôture pour insuffisance d'actif,Jugement de clôture
801146432,2023-05-11,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture
802309864,2023-05-12,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture
450624192,2023-05-15,Jugement de conversion en liquidation judiciaire,Jugement prononçant
305333601,2023-05-19,Autre jugement de clôture,Jugement de clôture
844652909,2023-05-23,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
393977863,2023-05-25,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
397733635,2023-05-25,Jugement de clôture pour insuffisance d'actif,Jugement de clôture
452988678,2023-06-01,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
838657237,2023-06-01,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture
314979642,2023-06-12,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture
499045227,2023-06-12,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
318043833,2023-06-13,Jugement de clôture pour insuffisance d'actif,Jugement de clôture
812619492,2023-06-14,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture
894121888,2023-06-14,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture
775857824,2023-06-15,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture
832085385,2023-06-16,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture
819555756,2023-06-19,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
533393005,2023-06-22,Jugement arrêtant le plan de sauvegarde,Extrait de jugement
440661270,2023-06-26,Autre jugement de clôture,Jugement de clôture
797976230,2023-06-26,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
449701333,2023-06-27,Jugement de clôture pour insuffisance d'actif,Jugement de clôture
822649455,2023-06-27,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
353588593,2023-06-29,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture
818613838,2023-07-06,Jugement de clôture pour insuffisance d'actif,Jugement de clôture
812826758,2023-07-07,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture
384190906,2023-07-10,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
841650195,2023-08-10,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture
831096953,2023-09-14,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
538857863,2023-09-21,Jugement de clôture pour insuffisance d'actif,Jugement de clôture
803878073,2023-09-22,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
840768915,2023-09-25,Jugement de conversion en liquidation judiciaire,Jugement prononçant
528922347,2023-09-26,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture
882606742,2023-09-26,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
803504059,2023-09-29,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture
840017834,2023-10-05,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
378913883,2023-10-10,Jugement de clôture pour insuffisance d'actif,Jugement de clôture
834436560,2023-10-10,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
780255097,2023-10-11,Jugement de clôture pour insuffisance d'actif,Jugement de clôture
339524787,2023-10-13,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
383389087,2023-10-20,Autre jugement prononçant,Jugement prononçant
537866782,2023-10-24,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture
799000013,2023-10-24,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
402433080,2023-10-26,Jugement de clôture pour insuffisance d'actif,Jugement de clôture
820831220,2023-10-26,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
388871394,2023-10-27,Jugement prononçant la résolution du plan de redressement et la liquidation judiciaire,Extrait de jugement
402291082,2023-10-27,Jugement de clôture pour insuffisance d'actif,Jugement de clôture
489072512,2023-11-08,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
500921168,2023-11-20,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
382322568,2023-11-30,Autre jugement prononçant,Jugement prononçant
421082355,2023-12-01,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
439654179,2023-12-05,Jugement de clôture pour insuffisance d'actif,Jugement de clôture
842479891,2023-12-13,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
894780501,2023-12-19,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
851714014,2023-12-21,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture
803749894,2024-01-11,Jugement de clôture pour insuffisance d'actif,Jugement de clôture
843897406,2024-01-11,Jugement de clôture pour insuffisance d'actif,Jugement de clôture
421007469,2024-01-12,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture
827551128,2024-01-12,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
830837407,2024-01-12,Autre jugement prononçant,Jugement prononçant
891160061,2024-01-15,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture
503868002,2024-01-16,Autre jugement prononçant,Jugement prononçant
894997717,2024-01-18,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
315502831,2024-01-25,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
315948729,2024-02-01,Jugement de clôture pour insuffisance d'actif,Jugement de clôture
780508297,2024-02-09,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture
418008561,2024-02-13,Jugement de clôture pour insuffisance d'actif,Jugement de clôture
819869348,2024-02-14,Dépôt de l'état des créances,Avis de dépôt
918501784,2024-02-19,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
388133076,2024-02-21,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture
333075091,2024-02-22,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture
786176982,2024-02-27,Jugement arrêtant un plan de cession,Extrait de jugement
321337362,2024-02-29,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
843202987,2024-03-06,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture
853051910,2024-03-06,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture
880914809,2024-03-06,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture
412809592,2024-03-07,Dépôt de l'état des créances,Avis de dépôt
342318193,2024-03-19,Dépôt de l'état des créances,Avis de dépôt
444237093,2024-03-29,Jugement de clôture pour insuffisance d'actif,Jugement de clôture
822701785,2024-04-04,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
898771357,2024-04-04,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture
308529288,2024-04-12,Dépôt de l'état des créances,Avis de dépôt
432917029,2024-04-19,Jugement de clôture pour insuffisance d'actif,Jugement de clôture
432504330,2024-05-03,Dépôt de l'état des créances,Avis de dépôt
523642577,2024-05-21,Jugement de clôture pour insuffisance d'actif,Jugement de clôture
383465465,2024-05-22,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
892069782,2024-05-24,Autre jugement prononçant,Jugement prononçant
378416085,2024-05-27,Autre jugement prononçant,Jugement prononçant
425064284,2024-05-28,Jugement d'ouverture d'une procédure de redressement judiciaire,Jugement d'ouverture
384304143,2024-05-30,Jugement de clôture pour insuffisance d'actif,Jugement de clôture
499197721,2024-06-12,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
844052530,2024-06-20,Jugement d'ouverture de liquidation judiciaire,Jugement d'ouverture
