siren,expected_label,status,pdfs_found,new_pdfs_copied,error
329704878,fragile,no_pdf,0,0,
410464887,fragile,no_pdf,0,0,
424340214,fragile,no_pdf,0,0,
433259058,fragile,no_pdf,0,0,
521475434,fragile,no_pdf,0,0,
777510603,fragile,no_pdf,0,0,
940636533,fragile,no_pdf,0,0,
817850811,sain,no_pdf,0,0,
880088893,sain,no_pdf,0,0,
302095617,,no_pdf,0,0,
303626360,,ok,15,15,
304605256,,ok,15,15,
305588113,,no_pdf,0,0,
311642342,,ok,19,19,
320565914,,no_pdf,0,0,
327822177,,no_pdf,0,0,
328099304,,no_pdf,0,0,
332521897,,ok,8,8,
333352524,,ok,20,20,
339391021,,ok,16,16,
352373625,,no_pdf,0,0,
352778872,,ok,19,19,
378165294,,ok,11,11,
378751127,,ok,1,1,
378757686,,ok,8,8,
387951338,,ok,15,15,
388687055,,no_pdf,0,0,
389875964,,ok,1,1,
397962978,,ok,6,6,
404818114,,no_pdf,0,0,
407521798,,ok,3,3,
409586104,,ok,13,13,
409905270,,no_pdf,0,0,
410683254,,ok,17,17,
413812264,,ok,19,19,
414469726,,ok,16,16,
418167557,,ok,18,18,
422626598,,ok,12,12,
422808949,,ok,6,6,
424319929,,ok,8,8,
427800792,,no_pdf,0,0,
430125260,,ok,18,18,
434388211,,ok,12,12,
441768140,,ok,16,16,
442529996,,ok,5,5,
478952971,,no_pdf,0,0,
479588956,,no_pdf,0,0,
480522333,,ok,13,13,
488625468,,ok,10,10,
492560933,,ok,6,6,
492984745,,no_pdf,0,0,
509761649,,ok,11,11,
511605628,,ok,10,10,
512940370,,ok,1,1,
513255034,,no_pdf,0,0,
518926472,,ok,13,13,
523091668,,ok,16,16,
537869695,,ok,2,2,
751070400,,ok,2,2,
775555675,,no_pdf,0,0,
775605405,,ok,20,20,
775715105,,ok,18,18,
778921569,,ok,15,15,
780794251,,ok,10,10,
780807848,,ok,4,4,
780956652,,ok,13,13,
786337287,,no_pdf,0,0,
802060814,,ok,10,10,
804471795,,no_pdf,0,0,
813477106,,no_pdf,0,0,
824658389,,ok,1,1,
882525413,,ok,3,3,
903489128,,ok,5,5,
938783123,,no_pdf,0,0,
