siren,nom_officiel,nature_juridique,tranche_effectif,activite_principale,categorie,etat,region,departement
534018528,ASS RUELLE,9220,02,88.99B,PME,A,75,33
310656772,LEO LAGRANGE FORMATION,9220,31,85.59A,PME,A,84,69
919521294,"LIRE, ECRIRE ET CONTER DANS NOS TERRITOIRES POUR L'EDUCATION EN MILIEU URBAIN ET RURAL)",9220,NN,94.99Z,,A,32,02
776108458,L EDUCATION PAR LE TRAVAIL,9220,32,87.90B,ETI,A,76,48
923769459,ROYAL CANIN FOUNDATION,9300,NN,96.09Z,,A,76,30
950809368,DALLAS TEXAS ETATS-UNIS SOCIETE EXPERT JUDICIAIRE AVOCAT DIPLOMATE CONGO ZAIRE AMBASSADOR TIMOTHY ROOSE THOMAS KABILA KA,3290,NN,74.90B,PME,C,,
531328623,MISSION LOCALE DE PARIS,9220,32,84.13Z,PME,A,11,75
999999626,,,,,,,,
383924420,SONS D'HIVER,9220,03,90.02Z,PME,A,11,94
449163575,ASS PRUD'HOMMES FORMAT EMPL ECONOM SOCIA,9220,01,85.59A,PME,A,11,75
493470579,ANIMA INVESTMENT NETWORK,9220,11,94.99Z,PME,A,93,13
832821011,THE EXPLORERS FOUNDATION,9300,NN,94.99Z,,A,11,75
395177306,ITINERANCE ACCOMPAGNEMENT GENS DU VOYAGE,9220,03,94.99Z,PME,A,53,22
951585686,UNITED NATIONS AVOCAT LIEUTENANT'S COMMANDANT OFFICER'S TYRON MOUKOUMANI YAKETE KABILA KABANGE KABILA KABANGE,3290,NN,69.10Z,PME,C,,
951958420,UNITED NATIONS LIEUTENANT'S COMMANDANT OFFICER'S KABIKA MOUKOUMANI YAKETE TSHISEKEDI TSHILOMBO,3290,NN,69.10Z,PME,C,,
498720317,FONDATION SCIENCES MATHEMATIQUES DE PARIS,9300,03,72.19Z,PME,A,11,75
393723275,ASS DE LA SCENE NATIONALE DE SETE,9220,12,90.04Z,PME,A,76,34
419543244,L'ARANTELLE ASS INTERCOM D'ANIMATION,9220,12,94.99Z,PME,A,75,86
331035618,EMERAUDE I.D,9220,32,16.24Z,PME,A,53,22
443620471,ASSOCIATION SPORTIVE ET CULTURELLES DES PERSONNELS DE LA REGION ILE-DE-FRANCE (ASCRIF),9220,02,94.99Z,PME,A,11,93
/tmp/dca_xmls/xml/2023/3112/924243157_31122023_rectif1.xml,,,,,,,,
775726482,LA RESIDENCE SOCIALE,9220,41,87.10B,ETI,A,11,92
775559743,ASSOC AIDE JEUNES TRAVAILLEURS (AAJT),9220,21,87.90B,PME,A,93,13
819031170,LA MAISON DU POSSIBLE,9220,02,87.30B,PME,A,11,77
494251754,BARTISCHGUT,9260,21,87.10A,PME,A,44,67
449153980,ASSOCIATION UFOLEP,9220,02,93.12Z,PME,A,53,35
413963463,ASS ALPES COCCINELLE,9220,01,94.11Z,PME,A,84,38
