siren,nom_officiel,nature_juridique,tranche_effectif,activite_principale,categorie,etat,region,departement
269401154,CENTRE HOSPITALIER INTERCOMMUNAL CRETEIL,7364,51,86.10Z,ETI,A,11,94
300586179,UMANE (UMANE),9220,42,88.10A,ETI,A,93,83
301642062,VIVRE ENSEMBLE,9220,12,88.99B,PME,A,76,31
306215401,ASSOCIATION FOYER FAMILIAL DE HAGETMAU (FFH),9220,21,87.90A,PME,A,75,40
306289034,ASSOCIATION LA ROSE DES VENTS,9220,12,90.04Z,PME,A,32,59
310071477,CTRE ETUDE EVALUAT PROTECT DOMAIN NUCLEA (CEPN),9220,03,74.90B,PME,A,11,92
314549056,FONDATION TOUR DU VALAT,9300,21,72.19Z,PME,A,93,13
318948288,LA CIGALETTE CENTRE SOCIAL ET CULTUREL,9220,11,88.99B,PME,A,93,84
320130792,ASS DEP PUPILLES ENSEIG PUBLIC (ADPEP),9220,32,85.59B,PME,A,53,56
325080950,MAISON POUR TOUS (MTP),9220,01,90.04Z,PME,A,27,90
328732243,TRAJET,9220,31,87.90B,PME,A,52,44
332988039,LIGUE DE L'ENSEIGNEMENT DU CENTRE VAL DE LOIRE,9220,12,94.99Z,PME,A,24,45
334955598,AGAHTIR,9220,12,86.10Z,PME,A,93,06
338075815,DYNAMIC SEVRES,9220,12,93.12Z,PME,A,11,92
338780059,CENTRE DEPARTEMENTAL PROMOTION DU CINEMA,9220,03,94.99Z,PME,A,84,74
339401416,OGEC NANTES ERDRE,9220,32,85.31Z,ETI,A,52,44
343811279,LES RESTAURANTS DU COEUR RELAIS DU COEUR,9220,11,88.99B,PME,A,84,43
345132765,ASSOCIATION ESCAPADE 13,9220,NN,94.99Z,,A,93,13
345407803,SOC CONCOURS HIPPIQUES LA BAULE,9220,02,93.11Z,PME,A,52,44
380253245,ASSOCIATION ENERGIE,9222,21,78.30Z,PME,A,11,93
380307249,ATELIER TREMPLIN POUR LA REINSERTION ET L'EMPLOI (ATRE),9220,21,88.99B,PME,A,28,61
387944796,FONDATION BON SAUVEUR DE BEGARD,9300,41,86.10Z,ETI,A,53,22
388231144,ASSOCIATION UNE AUTRE IMAGE,9220,03,85.52Z,PME,A,93,13
390283349,MISSION LOCALE CAUX AUSTREB VALLEE SEINE,9220,12,84.13Z,PME,A,28,76
394900559,ASS DEPARTEMENT INFORMATION LOGEMENT (ADIL 79),9220,03,94.99Z,PME,A,75,79
398041442,ASS POUR ADULTES ET JEUNES HANDICAPES DU VAL D'OISE (APAJH95),9230,42,87.20A,ETI,A,11,95
