fichier,siren,cloture,nom,ville,total_produits,resultat_exploitation,resultat_net,fonds_propres,tresorerie,total_bilan,subv_pct,cac_certifie,statut,score,niveau,pts_rent,pts_soli,pts_liqu,pts_auto,pts_gouv,error
306330564_31122021.pdf,,2021-12-31,Institut National des Métiers d'Art (INMA),Paris,3428067,318785,276761,157327,642088,1192800,58,true,excedent,48,C,19.6,4.1,7.5,6.3,10,
306330564_31122022.pdf,,2022-12-31,Association INMA,PARIS 02,3193514,2146,12364,169691,418804,967808,49,false,excedent,33,D,15.0,5.5,5.2,7.7,0,
306330564_31122023.pdf,,2023-12-31,Institut pour les savoir-faire français (ISFF),Paris,3087448,-25787,-25719,143972,543132,1107737,57,true,deficit,42,C,14.6,4.1,7.0,6.5,10,
307548164_31122023.pdf,,2023-12-31,SOLIHA ALPES-MARITIMES,NICE,3621347,233814,250376,967579,1347574,2518623,3,true,excedent,70,B,18.2,12.0,14.9,14.6,10,
311441612_31122022.pdf,31144161200034,2022-12-31,A.A.P.I.Q. - Association d'Animation Populaire Inter Quartiers,ROCHEFORT SUR MER,1429235,-38759,-62881,69394,83366,341547,86,true,deficit,34,D,13.6,6.3,2.3,2.1,10,
313988099_31122020.pdf,,2020-12-31,ADAPEI - Association Départementale des Amis et Parents de Personnes Handicapées Mentales de la Martinique,Fort-de-France,34937739,2101295,2111721,27681012,18813196,40717167,78,true,excedent,73,B,18.0,21.2,20,3.3,10,
314841479_31122021.pdf,,2021-12-31,Association MJC Mont Mesly - Madeleine Reberioux,Créteil,1253827,54765,-35991,250923,43366,244656,72,true,ambigu,58,C,17.2,25,1.4,4.2,10,
314900655_31122020.pdf,,2020-12-31,ASSOCIATION ESPACES MJC EVIAN,EVIAN LES BAINS,1873833,-330360,-252945,-297942,566502,1478177,32,true,deficit,39,D,6.2,0,12.1,10.2,10,
324896448_31122023.pdf,,2023-12-31,Association Départementale Voyageur-Gadjé (A.D.V.O.G.),CERGY,331034,-14470,-20824,80069,136004,172390,94,true,deficit,55,C,12.8,14.5,16.4,0.9,10,
324896448_31122024.pdf,449663467,2024-12-31,Association Départementale Voyageur - Gadjé (ADVOG),Cergy,290746,-47008,-54164,25905,75772,121000,95,true,deficit,35,D,6.9,6.7,10.4,0.8,10,
331118968_31122022.pdf,,2022-12-31,Association MAISON DE L'AMITIE,ALBI,2605947,-317132,-284223,197098,677097,3146545,87,true,deficit,33,D,8.9,2.0,10.4,2.0,10,
331118968_31122023.pdf,,2023-12-31,Maison de l'Amitié Association,ALBI,2830713,-646036,-634192,-190731,370654,2700169,90,false,deficit,10,E,3.6,0,5.2,1.5,0,
334820230_31122021.pdf,,2021-12-31,GREP - Groupe pour l'Emploi des Probationnaires,LYON,956644,-47817,15131,560924,48713,1028899,40,true,ambigu,51,C,12.5,17.0,2.0,9.0,10,
334820230_31122022.pdf,,2022-12-31,GREP - Groupe pour l'Emploi des Probationnaires,LYON,808449,-148758,-159986,400938,30224,1092736,37,true,deficit,38,D,5.8,11.5,1.5,9.5,10,
335322483_31122022.pdf,,2022-12-31,Association Les Musiciens du Louvre,Grenoble,2336099,-149483,-129933,289207,541133,638670,19,true,deficit,58,C,11.8,14.2,9.3,12.2,10,
339038721_31122021.pdf,,2021-12-31,ASSOCIATION TUTELAIRE LA CROIX MARINE,,3194633,-37090,-41083,618847,1056704,1361817,82,false,deficit,45,C,14.4,14.2,13.2,2.7,0,
339038721_31122022.pdf,,2022-12-31,CROIX MARINE DE LA REUNION,LA REUNION,3334271,-20061,-19976,709681,1010286,1617629,94,false,deficit,41,C,14.7,13.7,12.1,0.9,0,
340223338_31122022.pdf,413612979,2022-12-31,ASSOCIATION CRECHE ST JACQUES,TOULON,292917,-56775,-55048,-42888,62538,63543,8,false,deficit,28,D,5.3,0,8.5,13.8,0,
340223338_31122023.pdf,413612979,2023-12-31,ASSOCIATION CRECHE ST JACQUES,TOULON,321576,-14764,-13333,-56222,56532,59057,18,false,deficit,32,D,12.7,0,7.0,12.3,0,
343873295_31122023.pdf,343873295,2023-12-31,INST TECHNI DEVELOP PRODUITS MER,LORIENT,1891248,-198815,-64242,905539,2643,1964790,18,false,deficit,37,D,9.7,14.4,0.1,12.3,0,
347758591_31122022.pdf,34775859,2022-12-31,ASSOCIATION RADIO VASSIVIERE,ROYERE-DE-VASSIVIERE,249325,-2527,5120,94712,120463,229887,96,false,ambigu,47,C,14.5,12.9,19.3,0.6,0,
347758591_31122023.pdf,,,,,,,,,,,,,,,,"HTTP 429: {""type"":""error"",""error"":{""type"":""rate_limit_error"",""message"":""This request would exceed your organization's rate limit of 30,000 input tokens per minute (org: 5be5fb2a-e3ed-4c56-ba36-846c392"
347758591_31122024.pdf,,,,,,,,,,,,,,,,"HTTP 429: {""type"":""error"",""error"":{""type"":""rate_limit_error"",""message"":""This request would exceed your organization's rate limit of 30,000 input tokens per minute (org: 5be5fb2a-e3ed-4c56-ba36-846c392"
347820524_31122021.pdf,347820524,2021-12-31,ASSOCIATION SERVIR,VALDOIE,3628654,-1846681,-1846681,-938323,55741,2764905,54,false,deficit,8,E,0,0,0.6,6.9,0,
351303474_31122022.pdf,,2022-12-31,Association MJC CS LA FABRIQUE,,1189287,-214585,-128175,-84176,16434,373676,41,false,deficit,16,E,6.0,0,0.6,8.9,0,
354060600_31122021.pdf,,2021-12-31,ACADEL,Marseille,1589223,-37432,-41873,226230,551988,981955,81,false,deficit,38,D,13.8,7.2,13.9,2.9,0,
354060600_31122022.pdf,,2022-12-31,ACADEL,Marseille,1652458,-134031,-35455,238903,206232,829354,75,false,deficit,29,D,10.9,9.0,5.0,3.8,0,
