fichier,siren,cloture,nom,ville,total_produits,resultat_exploitation,resultat_net,fonds_propres,tresorerie,total_bilan,subv_pct,cac_certifie,statut,score,niveau,pts_rent,pts_soli,pts_liqu,pts_auto,pts_gouv,error
304154800_31122010.pdf,,2010-12-31,ASSOC.MONESTIER LES MYRIAMS,VERSAILLES,3416277,-17688,-96684,3521854,422200,6707555,80,true,deficit,49,C,14.7,16.4,4.9,3.0,10,
304154800_31122014.pdf,382729044,2014-12-31,ASSOCIATION MONESTIER LES MYRIAMS,VERSAILLES,4439178,-650460,-255276,1909341,128851,11453109,12,true,deficit,37,D,7.7,5.2,1.2,13.2,10,
304154800_31122015.pdf,304154800,2015-12-31,ASSOCIATION MONESTIER,VERSAILLES,13217539,-33400,255276,9699825,6786675,11453109,4,true,ambigu,84,A,14.9,25,20,14.4,10,
304154800_31122016.pdf,,2016-12-31,Association Monestier,Versailles,4188239,-228294,-415390,1849291,30282,9187460,1,true,deficit,44,C,12.3,6.3,0.3,14.9,10,
304154800_31122017.pdf,,2017-12-31,ASSOCIATION MONESTIER,,4103177,-125211,-517824,1780279,156046,9072901,0,false,deficit,36,D,13.5,6.1,1.5,15.0,0,
304154800_31122018.pdf,,2018-12-31,ASSOCIATION MONESTIER,VERSAILLES,4533085,-119357,187383,1856064,168821,8638313,0,true,ambigu,47,C,13.7,6.7,1.5,15.0,10,
311247977_31122019.pdf,,2019-12-31,HALTE GARDERIE DU GRAND PAVOIS,PARIS,216971,-12217,-4965,85934,69286,107712,36,false,deficit,60,B,12.2,24.9,12.8,9.6,0,
311247977_31122020.pdf,,2020-12-31,Association HALTE GARDERIE DU GRAND PAVOIS,PARIS,185822,-51762,-15238,70697,97390,104438,26,false,deficit,53,C,1.1,21.2,20,11.1,0,
311247977_31122020_rectif1.pdf,,2020-12-31,Association HALTE GARDERERIE DU GRAND PAVOIS,PARIS,185822,-51762,-15238,70697,88990,104438,26,true,deficit,63,B,1.1,21.2,19.2,11.1,10,
311247977_31122021.pdf,,2021-12-31,ASSOCIATION HALTE GARDERERIE DU GRAND PAVOIS,PARIS,166419,-48453,-46887,23809,37874,46647,33,true,deficit,46,C,0.4,16.0,9.1,10.1,10,
