fichier,siren,cloture,nom,ville,total_produits,resultat_exploitation,resultat_net,fonds_propres,tresorerie,total_bilan,subv_pct,cac_certifie,statut,score,niveau,pts_rent,pts_soli,pts_liqu,pts_auto,pts_gouv,error
269401154_31122020.pdf,,2020-12-31,CHIC IDEE - FONDS DE DOTATION DU CHIC,Créteil,52259,51822,51843,178427,162043,178427,0,true,excedent,100,A,30,25,20,15.0,10,
269401154_31122021.pdf,,2021-12-31,Fonds de dotation CHIC IDEE,Créteil,2257,-4010,-3992,174435,180195,180195,0,false,deficit,60,B,0,25,20,15.0,0,
269401154_31122022.pdf,,2022-12-31,Fonds de dotation CHIC IDEE,Créteil,298356,269889,269909,444344,447514,448361,0,false,excedent,90,A,30,25,20,15.0,0,
269401154_31122023.pdf,,2023-12-31,FONDS DES HOPITAUX CONFLUENCE,CRETEIL,155981,-128,0,291860,296269,297459,0,true,ambigu,85,A,15.0,25,20,15.0,10,
300586179_31122023.pdf,,2023-12-31,Association UMANE,LA VALETTE DU VAR,104506791,754678,445027,40862701,7763420,122443430,82,true,excedent,42,C,15.4,10.4,3.0,2.7,10,
301642062_31122020.pdf,,2020-12-31,VIVRE ENSEMBLE,Toulouse,592213,78547,34795,-70445,43835,206438,77,true,excedent,38,D,21.6,0,3.0,3.5,10,
301642062_31122021.pdf,,2021-12-31,VIVRE ENSEMBLE,Toulouse,713283,80366,51933,-11512,109726,239142,74,true,excedent,41,C,20.6,0,6.2,3.9,10,
301642062_31122022.pdf,,2022-12-31,Association VIVRE ENSEMBLE,Toulouse,658607,-5858,-13312,-31823,62371,214425,1,true,deficit,43,C,14.6,0,3.8,14.9,10,
306215401_31122020.pdf,,2020-12-31,Association Foyer Familial de Hagetmau,HAGETMAU,2372189,-218713,-217605,230201,305309,880113,99,true,deficit,34,D,10.4,8.2,5.1,0.2,10,
306215401_31122021.pdf,,2021-12-31,Association Foyer Familial de Hagetmau,Hagetmau,3460614,362725,373652,603854,902200,1634123,99,true,excedent,52,C,20.2,11.5,10.4,0.2,10,
306215401_31122022.pdf,,2022-12-31,Association Foyer Familial de Hagetmau,Hagetmau,3441959,45265,163433,767288,567816,1639921,93,true,excedent,48,C,15.7,14.6,6.6,1.1,10,
306215401_31122023.pdf,,2023-12-31,Association Foyer Familial de Hagetmau,Hagetmau,3403982,-504446,-506921,260366,34932,1140280,98,true,deficit,25,D,7.6,7.1,0.4,0.3,10,
306289034_31122021.pdf,,2021-12-31,La Rose des Vents,Villeneuve d'Ascq,2491836,-25704,-11138,456638,1047789,1945394,88,true,deficit,50,C,14.5,7.3,16.8,1.8,10,
306289034_31122022.pdf,,2022-12-31,La Rose des Vents,Villeneuve d'Ascq,2900039,-30625,-12354,444284,138080,1523863,85,true,deficit,38,D,14.5,9.1,1.9,2.3,10,
306289034_31122023.pdf,,2023-12-31,LA ROSE DES VENTS,VILLENEUVE D'ASCQ,2765303,-13683,6014,450299,429782,1601002,86,true,ambigu,42,C,14.8,8.8,6.2,2.1,10,
310071477_31122020.pdf,,2020-12-31,Association CEPN ASSOCIATION,FONTENAY AUX ROSES,1519037,-209986,23691,1417214,742279,2543067,0,false,ambigu,60,B,8.1,17.4,19.5,15.0,0,
310071477_31122021.pdf,,2021-12-31,Association CEPN ASSOCIATION,FONTENAY AUX ROSES,1687654,-207157,11018,1428231,980567,2492882,0,false,ambigu,62,B,8.9,17.9,20,15.0,0,
310071477_31122022.pdf,,2022-12-31,Association CEPN ASSOCIATION,FONTENAY AUX ROSES,1446178,-263381,-16347,1411884,761362,2654128,1,false,deficit,57,C,5.9,16.6,20,14.9,0,
310071477_31122023.pdf,,2023-12-31,Association CEPN ASSOCIATION,FONTENAY AUX ROSES,1420312,-258152,12887,1424771,670636,2530470,1,false,ambigu,57,C,5.9,17.6,18.9,14.9,0,
314549056_31122020.pdf,,2020-12-31,FONDATION TOUR DU VALAT,ARLES,5822707,52149,54052,4760857,3568468,14804017,78,false,excedent,49,C,15.4,10.0,20,3.3,0,
314549056_31122021.pdf,,2021-12-31,FONDATION TOUR DU VALAT,ARLES,6002564,43049,29177,9768673,6822633,19306920,29,false,excedent,62,B,15.4,15.8,20,10.6,0,
314549056_31122022.pdf,,2022-12-31,FONDATION TOUR DU VALAT,ARLES,6734835,-267225,533478,5323512,8478040,21086079,27,false,ambigu,52,C,13.0,7.9,20,11.0,0,
314549056_31122023.pdf,314549056000013,2023-12-31,FONDATION TOUR DU VALAT,ARLES,7223910,-191160,168976,10360402,8588897,22922387,29,true,ambigu,68,B,13.7,14.1,20,10.6,10,
318948288_31122020.pdf,,2020-12-31,CENTRE SOCIAL ET CULTUREL LA CIGALETTE,L'ISLE SUR LA SORGUE,473275,-6437,-732,121910,157985,235023,93,true,deficit,55,C,14.3,16.2,13.4,1.1,10,
318948288_31122021.pdf,,2021-12-31,CENTRE SOCIAL ET CULTUREL LA CIGALETTE,ISLE SUR LA SORGUE,475755,9834,10647,132557,175867,235852,92,true,excedent,60,B,16.0,17.6,14.8,1.2,10,
318948288_31122023.pdf,,2023-12-31,CENTRE SOCIAL ET CULTUREL LA CIGALETTE,ISLE SUR LA SORGUES,523250,-16856,-13262,112905,119009,216946,92,true,deficit,50,C,13.4,16.3,9.1,1.2,10,
320130792_31122022.pdf,844927780,2022-12-31,ASSOCIATION LES PEP 56,Vannes,16015826,-48641,904916,7354854,3289409,15111740,68,true,ambigu,53,C,14.8,15.2,8.2,4.8,10,
320130792_31122023.pdf,,2023-12-31,ASSOCIATION LES PEP 56,Vannes,14331050,-67372,-152454,2357965,3101409,14318117,75,true,deficit,42,C,14.8,5.1,8.7,3.8,10,
325080950_30112022.pdf,325080950,2022-11-30,MAISON POUR TOUS,BEAUCOURT,310348,-48468,12196,107119,146733,181774,60,true,ambigu,61,B,7.2,18.4,18.9,6.0,10,
328732243_31122020.pdf,328732243,2020-12-31,TRAJET,REZE,5549116,125129,116787,1472033,2436764,4080779,42,true,excedent,64,B,16.1,11.3,17.6,8.7,10,
