fichier,siren,cloture,nom,ville,label,total_produits,resultat_exploitation,resultat_net,fonds_propres,tresorerie,emprunts,total_bilan,subv_pct,masse_sal_pct,fp_bilan_pct,etp,cac_certifie,statut,cac_certification_qualite,concentration_financeurs,notes,input_tokens,output_tokens,cost_usd,error
306330564_31122021.pdf,306330564,2021-12-31,Institut National des Métiers d'Art,Paris,1,3428067,318785,276761,157327,642088,0,1192800,58,35,13,19.0,true,excedent,certifie_sans_reserve,,"Association financée majoritairement par subventions publiques (1,99 M€). Forte augmentation des fonds dédiés à 1,46 M€. Provision de 70 K€ reprise suite à fin d'un litige prud'homal. Changement de locaux prévu début 2022 avec mise au rebut d'immobilisations pour 20 K€.",67887,350,0.20891,
306330564_31122022.pdf,306330564,2022-12-31,Association INMA,PARIS,1,3193514,2146,12364,169691,418904,15000,967808,49,42,18,20.0,false,excedent,,0.51,"Résultat positif de 12 364 € après un déficit de 151 571 € en 2021, grâce notamment aux contributions financières de 393 519 € (Fondation Cointreau, BPCE, Bettencourt). La trésorerie s'élève à 419 K€ et les fonds dédiés restant à engager sont de 30 K€.",73027,347,0.22429,
306330564_31122023.pdf,306330564,2023-12-31,Institut pour les savoir-faire français,Paris,1,3087448,-25787,-25719,143972,543132,15000,1107737,57,45,13,22.0,true,deficit,certifie_sans_reserve,0.61,"L'association a perdu la gestion du label EPV après appel d'offres (28% des recettes 2023), ce qui aura un impact significatif sur le modèle économique. Provision de 70K€ constituée pour litige prud'homal.",71805,322,0.22025,
307548164_31122023.pdf,307548164,2023-12-31,SOLIHA ALPES-MARITIMES,NICE,1,3621347,233814,250376,967579,1347575,561759,2518623,3,68,38,40.0,true,excedent,certifie_sans_reserve,,Association en bonne santé financière avec une trésorerie solide représentant 54% du bilan. Provision pour travaux locatifs de 21 000 euros constituée depuis 2018.,38653,308,0.12058,
311441612_31122022.pdf,31144161200034,2022-12-31,Association d'Animation Populaire Inter Quartiers,Rochefort-sur-Mer,1,1429235,-38759,-62881,69394,83365,7916,341547,86,65,20,38.82,true,deficit,certifie_sans_reserve,,"Déficit important de 62 880 € lié à des créances non recouvrées depuis plusieurs années (20 650 €), fin de procédure Prud'hommes (13 150 €), indemnités de départ (17 300 €) et opérations de nettoyage. Charges exceptionnelles compensées partiellement par produits exceptionnels de 19 749 €.",43372,365,0.13559,
313988099_31122020.pdf,313988099,2020-12-31,ADAPEI - Association Départementale des Amis et Parents de Personnes Handicapées Mentales de la Martinique,Fort-de-France,1,33187590,2101295,2111721,27681012,18813196,3979366,40717167,82,71,68,398.3,true,excedent,certifie_sans_reserve,,Forte dépendance aux subventions publiques (82%). Situation financière saine avec fonds propres représentant 68% du bilan et trésorerie très confortable.,51237,331,0.15868,
314841479_31122021.pdf,314841479,2021-12-31,ASSOCIATION MJC MONT MESLY - MADELEINE REBERIOUX,Créteil,1,1253827,54765,-35991,250923,43366,143672,244656,75,64,103,26.0,true,ambigu,certifie_sans_reserve,0.73,Excédent d'exploitation de 54 765€ mais déficit net de -35 991€ dû aux charges exceptionnelles (29 086€) et produits exceptionnels. Provision pour retraite de 42 328€ comptabilisée.,22923,334,0.07378,
314900655_31122020.pdf,314900655,2020-12-31,ASSOCIATION ESPACES MJC EVIAN,EVIAN LES BAINS,1,1873833,-330360,-252945,-297942,635369,733613,1478177,32,51,-20,40.0,true,deficit,certifie_sans_reserve,0.67,"Association en forte difficulté avec fonds propres négatifs (-297k€) suite à la crise COVID-19. Situation de déséquilibre structurel nécessitant des mesures de redressement urgentes malgré les aides publiques obtenues (PGE 450k€, aides état/collectivités).",59102,346,0.1825,
324896448_31122023.pdf,324896448,2023-12-31,Association Départementale Voyageur-Gadjé (A.D.V.O.G.),CERGY,1,331034,-14470,-20824,80069,136004,8959,172390,94,68,46,,true,deficit,certifie_sans_reserve,,Déficit d'exploitation de -14 470 € compensé partiellement par produits financiers et exceptionnels. Fonds propres solides à 46% du bilan mais résultat net négatif.,22923,318,0.07354,
324896448_31122024.pdf,324896448,2024-12-31,Association Départementale Voyageur - Gadjé,Cergy,1,290746,-47908,-54164,25905,75772,0,121000,95,67,21,5.0,true,deficit,certifie_sans_reserve,0.64,"Résultat déficitaire de -54 164€. Provision pour litige de 17 918€ supplémentaire en 2024, portant le total à 38 425€.",31002,307,0.09761,
331118968_31122022.pdf,331118968,2022-12-31,MAISON DE L'AMITIE,ALBI,1,2605947,-317132,-284223,197098,677097,1741817,3146545,87,57,6,45.0,true,deficit,certifie_sans_reserve,,Déficit d'exploitation important lié à un épisode COVID sur l'EHPAD en début d'année et aux revalorisations salariales SEGUR en cours de financement. Impact des CPOM de la Résidence Autonomie et de l'EHPAD-CAJA non encore finalisés.,40226,332,0.12566,
331118968_31122023.pdf,331118968,2023-12-31,Maison de l'Amitié Association,ALBI,1,2830713,-646036,-634192,-190732,370655,1636846,2700169,90,54,-7,36.0,false,deficit,,,Association en procédure de sauvegarde depuis mai 2024. Provision pour litiges prud'homaux de 372.7k€. Déficit structurel avec fonds propres négatifs et forte dépendance aux subventions publiques.,98025,313,0.29877,
334820230_31122021.pdf,334820230,2021-12-31,GREP - Groupe pour l'Emploi des Probationnaires,LYON,1,956644,-47817,15131,560924,48713,0,1028899,40,76,55,17.0,true,ambigu,certifie_sans_reserve,,Comptabilisation pour la première fois des engagements de retraite (150 176€ en report à nouveau). Déficit d'exploitation compensé par dividendes de la filiale GREP Intérim (70 000€).,23793,319,0.07616,
