siren,cloture,nom,ville,departement,ape_section,score_vigi,niveau_vigi,pts_rent,pts_soli,pts_liqu,pts_auto,pts_gouv,date_snapshot
306330564,2021-12-31,Institut National des Métiers d'Art (INMA),Paris,75,94,48,C,19.6,4.1,7.5,6.3,10,2026-05-08
306330564,2022-12-31,Association INMA,PARIS 02,75,94,33,D,15.0,5.5,5.2,7.7,0,2026-05-08
306330564,2023-12-31,Institut pour les savoir-faire français (ISFF),Paris,75,94,42,C,14.6,4.1,7.0,6.5,10,2026-05-08
307548164,2023-12-31,SOLIHA ALPES-MARITIMES,NICE,06,88,70,B,18.2,12.0,14.9,14.6,10,2026-05-08
311441612,2022-12-31,A.A.P.I.Q. - Association d'Animation Populaire Inter Quartiers,ROCHEFORT SUR MER,17,88,34,D,13.6,6.3,2.3,2.1,10,2026-05-08
312628035,2025-06-30,MAISON DES JEUNES ET DE LA CULTURE DU VUACHE,VULBENS,,,72,B,16.7,13.3,20,12.0,10,2026-05-08
313273153,2023-12-31,CONTRE-COURANT MJC,BELLEVILLE SUR MEUSE,,,61,B,14.3,17.1,15.6,3.8,10,2026-05-08
313988099,2020-12-31,ADAPEI - Association Départementale des Amis et Parents de Personnes Handicapées Mentales de la Martinique,Fort-de-France,972,88,73,B,18.0,21.2,20,3.3,10,2026-05-08
314841479,2021-12-31,Association MJC Mont Mesly - Madeleine Reberioux,Créteil,94,90,58,C,17.2,25,1.4,4.2,10,2026-05-08
314900655,2020-12-31,ASSOCIATION ESPACES MJC EVIAN,EVIAN LES BAINS,74,90,39,D,6.2,0,12.1,10.2,10,2026-05-08
324896448,2024-12-31,Association Départementale Voyageur - Gadjé (ADVOG),Cergy,95,94,35,D,6.9,6.7,10.4,0.8,10,2026-05-08
324896448,2023-12-31,Association Départementale Voyageur-Gadjé (A.D.V.O.G.),CERGY,95,94,55,C,12.8,14.5,16.4,0.9,10,2026-05-08
331118968,2022-12-31,Association MAISON DE L'AMITIE,ALBI,81,88,33,D,8.9,2.0,10.4,2.0,10,2026-05-08
331118968,2023-12-31,Maison de l'Amitié Association,ALBI,81,88,10,E,3.6,0,5.2,1.5,0,2026-05-08
334820230,2021-12-31,GREP - Groupe pour l'Emploi des Probationnaires,LYON,69,88,51,C,12.5,17.0,2.0,9.0,10,2026-05-08
334820230,2022-12-31,GREP - Groupe pour l'Emploi des Probationnaires,LYON,69,88,38,D,5.8,11.5,1.5,9.5,10,2026-05-08
