siren,year,ddmm,url,status,taille_octets,fichier
430223321,2022,3112,https://www.journal-officiel.gouv.fr/telechargements/ASSOCIATIONS/DCA/PDF/2022/3112/430223321_31122022.pdf,ok,673884,430223321_31122022.pdf
430223321,2020,3112,https://www.journal-officiel.gouv.fr/telechargements/ASSOCIATIONS/DCA/PDF/2020/3112/430223321_31122020.pdf,ok,2855772,430223321_31122020.pdf
775887557,2022,3006,https://www.journal-officiel.gouv.fr/telechargements/ASSOCIATIONS/DCA/PDF/2022/3006/775887557_30062022.pdf,ok,6740079,775887557_30062022.pdf
775887557,2021,3006,https://www.journal-officiel.gouv.fr/telechargements/ASSOCIATIONS/DCA/PDF/2021/3006/775887557_30062021.pdf,ok,1885637,775887557_30062021.pdf
775887557,2020,3006,https://www.journal-officiel.gouv.fr/telechargements/ASSOCIATIONS/DCA/PDF/2020/3006/775887557_30062020.pdf,ok,1788449,775887557_30062020.pdf
921742383,2022,3112,https://www.journal-officiel.gouv.fr/telechargements/ASSOCIATIONS/DCA/PDF/2022/3112/921742383_31122022.pdf,ok,205000,921742383_31122022.pdf
778859793,2021,3112,https://www.journal-officiel.gouv.fr/telechargements/ASSOCIATIONS/DCA/PDF/2021/3112/778859793_31122021.pdf,ok,1632387,778859793_31122021.pdf
778859793,2020,3112,https://www.journal-officiel.gouv.fr/telechargements/ASSOCIATIONS/DCA/PDF/2020/3112/778859793_31122020.pdf,ok,77837,778859793_31122020.pdf
775647324,2021,3108,https://www.journal-officiel.gouv.fr/telechargements/ASSOCIATIONS/DCA/PDF/2021/3108/775647324_31082021.pdf,ok,749647,775647324_31082021.pdf
775647324,2020,3108,https://www.journal-officiel.gouv.fr/telechargements/ASSOCIATIONS/DCA/PDF/2020/3108/775647324_31082020.pdf,ok,439069,775647324_31082020.pdf
345407803,2022,3009,https://www.journal-officiel.gouv.fr/telechargements/ASSOCIATIONS/DCA/PDF/2022/3009/345407803_30092022.pdf,ok,771940,345407803_30092022.pdf
345407803,2020,3009,https://www.journal-officiel.gouv.fr/telechargements/ASSOCIATIONS/DCA/PDF/2020/3009/345407803_30092020.pdf,ok,762482,345407803_30092020.pdf
808517411,2022,3112,https://www.journal-officiel.gouv.fr/telechargements/ASSOCIATIONS/DCA/PDF/2022/3112/808517411_31122022.pdf,ok,1282045,808517411_31122022.pdf
